model,dataset,ratio,accuracy
SelfGCon,PubMed,0.009999999776482582,0.8138000428676605
SelfGCon,PubMed,0.019999999552965164,0.8137000322341919
SelfGCon,PubMed,0.030000001192092896,0.810800039768219
SelfGCon,PubMed,0.04000000283122063,0.8112000465393067
SelfGCon,PubMed,0.05000000447034836,0.8141000390052795
SelfGCon,PubMed,0.05999999865889549,0.8128000438213349
SelfGCon,PubMed,0.07000000029802322,0.811400043964386
SelfGCon,PubMed,0.07999999821186066,0.8135000348091126
SelfGCon,PubMed,0.09000000357627869,0.8113000392913818
SelfGCon,PubMed,0.10000000149011612,0.8128000319004058
