model,dataset,ratio,accuracy,std
SelfGCon,CiteSeer,0.01,0.7246000319719315,0.0077690289763489755
SelfGCon,CiteSeer,0.1,0.7252500355243683,0.009770388672907682
SelfGCon,CiteSeer,0.5,0.7276000350713729,0.007177444201776361
SelfGCon,CiteSeer,1.0,0.7285500347614289,0.008840549664810815
