model,dataset,ratio,accuracy
SelfGCon,CiteSeer,0.009999999776482582,0.7226000249385833
SelfGCon,CiteSeer,0.019999999552965164,0.7231000304222107
SelfGCon,CiteSeer,0.030000001192092896,0.727200037240982
SelfGCon,CiteSeer,0.04000000283122063,0.7249000251293183
SelfGCon,CiteSeer,0.05000000447034836,0.725700032711029
SelfGCon,CiteSeer,0.05999999865889549,0.7229000389575958
SelfGCon,CiteSeer,0.07000000029802322,0.7253000319004059
SelfGCon,CiteSeer,0.07999999821186066,0.726300036907196
SelfGCon,CiteSeer,0.09000000357627869,0.723900032043457
SelfGCon,CiteSeer,0.10000000149011612,0.7227000296115875
