model,dataset,ratio,accuracy
SelfGCon,Cora,0.009999999776482582,0.8363000392913819
SelfGCon,Cora,0.019999999552965164,0.8426000475883484
SelfGCon,Cora,0.030000001192092896,0.8407000303268433
SelfGCon,Cora,0.04000000283122063,0.8421000301837921
SelfGCon,Cora,0.05000000447034836,0.8431000411510468
SelfGCon,Cora,0.05999999865889549,0.8430000483989716
SelfGCon,Cora,0.07000000029802322,0.8435000360012055
SelfGCon,Cora,0.07999999821186066,0.8416000485420227
SelfGCon,Cora,0.09000000357627869,0.8427000403404236
SelfGCon,Cora,0.10000000149011612,0.8414000391960144
