model,dataset,lr1,out_dim,hid_dim,pred_hid,edge_drop_rate,feat_mask_rate,val_acc
BGRL,CiteSeer,0.0005,256,512,512,0.2,0.5,0.5146666963895162
BGRL,CiteSeer,0.0005,256,512,512,0.2,0.5,0.5253333648045858
BGRL,CiteSeer,0.0001,256,512,512,0.2,0.5,0.7113333741823832
BGRL,CiteSeer,0.0001,256,512,512,0.2,0.5,0.7053333719571432
BGRL,CiteSeer,0.0005,256,512,512,0.3,0.0,0.42466668287913006
BGRL,CiteSeer,0.0005,256,512,512,0.3,0.0,0.43666668732961017
BGRL,CiteSeer,0.0001,256,512,512,0.3,0.0,0.46000001827875775
BGRL,CiteSeer,0.0001,256,512,512,0.3,0.0,0.43400002519289654
BGRL,CiteSeer,0.0005,256,512,512,0.3,0.1,0.39333335558573407
BGRL,CiteSeer,0.0005,256,512,512,0.3,0.1,0.4520000120004018
BGRL,CiteSeer,0.0001,256,512,512,0.3,0.1,0.5973333716392517
BGRL,CiteSeer,0.0001,256,512,512,0.3,0.1,0.5606667002042135
BGRL,CiteSeer,0.0005,256,512,512,0.3,0.2,0.3673333525657654
BGRL,CiteSeer,0.0005,256,512,512,0.3,0.2,0.396666685740153
BGRL,CiteSeer,0.0001,256,512,512,0.3,0.2,0.624666690826416
BGRL,CiteSeer,0.0001,256,512,512,0.3,0.2,0.580666700998942
BGRL,CiteSeer,0.0005,256,512,512,0.3,0.3,0.38066669305165607
BGRL,CiteSeer,0.0005,256,512,512,0.3,0.3,0.36400002241134644
BGRL,CiteSeer,0.0001,256,512,512,0.3,0.3,0.6606666843096415
BGRL,CiteSeer,0.0001,256,512,512,0.3,0.3,0.6906667153040568
BGRL,CiteSeer,0.0005,256,512,512,0.3,0.4,0.44933334986368817
BGRL,CiteSeer,0.0005,256,512,512,0.3,0.4,0.35866667826970416
BGRL,CiteSeer,0.0001,256,512,512,0.3,0.4,0.6893333594004313
BGRL,CiteSeer,0.0001,256,512,512,0.3,0.4,0.690000037352244
BGRL,CiteSeer,0.0005,256,512,512,0.3,0.5,0.5673333605130514
BGRL,CiteSeer,0.0005,256,512,512,0.3,0.5,0.515333354473114
BGRL,CiteSeer,0.0001,256,512,512,0.3,0.5,0.7046666940053304
BGRL,CiteSeer,0.0001,256,512,512,0.3,0.5,0.7093333601951599
BGRL,CiteSeer,0.0005,256,512,512,0.4,0.0,0.44666669766108197
BGRL,CiteSeer,0.0005,256,512,512,0.4,0.0,0.4360000193119049
BGRL,CiteSeer,0.0001,256,512,512,0.4,0.0,0.4013333519299825
BGRL,CiteSeer,0.0001,256,512,512,0.4,0.0,0.43533335129419964
BGRL,CiteSeer,0.0005,256,512,512,0.4,0.1,0.39133334159851074
BGRL,CiteSeer,0.0005,256,512,512,0.4,0.1,0.4193333586057027
BGRL,CiteSeer,0.0001,256,512,512,0.4,0.1,0.5406666994094849
BGRL,CiteSeer,0.0001,256,512,512,0.4,0.1,0.6046666701634725
BGRL,CiteSeer,0.0005,256,512,512,0.4,0.2,0.3646666804949443
BGRL,CiteSeer,0.0005,256,512,512,0.4,0.2,0.3766666849454244
BGRL,CiteSeer,0.0001,256,512,512,0.4,0.2,0.6193333665529887
BGRL,CiteSeer,0.0001,256,512,512,0.4,0.2,0.6106666922569275
BGRL,CiteSeer,0.0005,256,512,512,0.4,0.3,0.38066668311754864
BGRL,CiteSeer,0.0005,256,512,512,0.4,0.3,0.3933333456516266
BGRL,CiteSeer,0.0001,256,512,512,0.4,0.3,0.6200000246365865
BGRL,CiteSeer,0.0001,256,512,512,0.4,0.3,0.656000018119812
BGRL,CiteSeer,0.0005,256,512,512,0.4,0.4,0.40466668208440143
BGRL,CiteSeer,0.0005,256,512,512,0.4,0.4,0.41866669058799744
BGRL,CiteSeer,0.0001,256,512,512,0.4,0.4,0.674666702747345
BGRL,CiteSeer,0.0001,256,512,512,0.4,0.4,0.6940000255902609
BGRL,CiteSeer,0.0005,256,512,512,0.4,0.5,0.5460000137488047
BGRL,CiteSeer,0.0005,256,512,512,0.4,0.5,0.5220000346501669
BGRL,CiteSeer,0.0001,256,512,512,0.4,0.5,0.6980000336964926
BGRL,CiteSeer,0.0001,256,512,512,0.4,0.5,0.7053333719571432
BGRL,CiteSeer,0.0005,256,512,512,0.5,0.0,0.4520000219345093
BGRL,CiteSeer,0.0005,256,512,512,0.5,0.0,0.474666694800059
BGRL,CiteSeer,0.0001,256,512,512,0.5,0.0,0.4560000201066335
BGRL,CiteSeer,0.0001,256,512,512,0.5,0.0,0.4233333468437195
BGRL,CiteSeer,0.0005,256,512,512,0.5,0.1,0.40266668796539307
BGRL,CiteSeer,0.0005,256,512,512,0.5,0.1,0.4306666851043701
BGRL,CiteSeer,0.0001,256,512,512,0.5,0.1,0.5833333532015482
BGRL,CiteSeer,0.0001,256,512,512,0.5,0.1,0.5660000244776408
BGRL,CiteSeer,0.0005,256,512,512,0.5,0.2,0.3773333529631297
BGRL,CiteSeer,0.0005,256,512,512,0.5,0.2,0.3766666849454244
BGRL,CiteSeer,0.0001,256,512,512,0.5,0.2,0.6306666930516561
BGRL,CiteSeer,0.0001,256,512,512,0.5,0.2,0.6126667062441508
BGRL,CiteSeer,0.0005,256,512,512,0.5,0.3,0.3800000150998433
BGRL,CiteSeer,0.0005,256,512,512,0.5,0.3,0.41200001041094464
BGRL,CiteSeer,0.0001,256,512,512,0.5,0.3,0.6826666990915934
BGRL,CiteSeer,0.0001,256,512,512,0.5,0.3,0.6766666968663534
BGRL,CiteSeer,0.0005,256,512,512,0.5,0.4,0.4020000199476878
BGRL,CiteSeer,0.0005,256,512,512,0.5,0.4,0.4466666877269745
BGRL,CiteSeer,0.0001,256,512,512,0.5,0.4,0.7006666858990988
BGRL,CiteSeer,0.0001,256,512,512,0.5,0.4,0.6926666895548502
BGRL,CiteSeer,0.0005,256,512,512,0.5,0.5,0.5640000204245249
BGRL,CiteSeer,0.0005,256,512,512,0.5,0.5,0.5640000303586324
BGRL,CiteSeer,0.0001,256,512,512,0.5,0.5,0.7073333462079366
BGRL,CiteSeer,0.0001,256,512,512,0.5,0.5,0.7146666844685873
BGRL,CiteSeer,0.0005,512,1024,1024,0.0,0.0,0.48133336504300434
BGRL,CiteSeer,0.0005,512,1024,1024,0.0,0.0,0.5353333751360575
BGRL,CiteSeer,0.0001,512,1024,1024,0.0,0.0,0.4593333601951599
BGRL,CiteSeer,0.0001,512,1024,1024,0.0,0.0,0.44866669178009033
BGRL,CiteSeer,0.0005,512,1024,1024,0.0,0.1,0.4100000262260437
BGRL,CiteSeer,0.0005,512,1024,1024,0.0,0.1,0.3800000150998433
BGRL,CiteSeer,0.0001,512,1024,1024,0.0,0.1,0.5333333611488342
BGRL,CiteSeer,0.0001,512,1024,1024,0.0,0.1,0.5473333398501078
