model,dataset,lr1,out_dim,hid_dim,pred_hid,edge_drop_rate,feat_mask_rate,val_acc
BGRL,Cora,0.0001,256,512,512,0.3,0.0,0.5980000297228495
BGRL,Cora,0.0001,256,512,512,0.3,0.0,0.6300000548362732
BGRL,Cora,0.0005,256,512,512,0.3,0.1,0.5646666884422302
BGRL,Cora,0.0005,256,512,512,0.3,0.1,0.5420000155766805
BGRL,Cora,0.0001,256,512,512,0.3,0.1,0.7013333439826965
BGRL,Cora,0.0001,256,512,512,0.3,0.1,0.7126667102177938
BGRL,Cora,0.0005,256,512,512,0.3,0.2,0.6493333776791891
BGRL,Cora,0.0005,256,512,512,0.3,0.2,0.652666707833608
BGRL,Cora,0.0001,256,512,512,0.3,0.2,0.740000049273173
BGRL,Cora,0.0001,256,512,512,0.3,0.2,0.7480000257492065
BGRL,Cora,0.0005,256,512,512,0.3,0.3,0.7013333638509115
BGRL,Cora,0.0005,256,512,512,0.3,0.3,0.6866667071978251
BGRL,Cora,0.0001,256,512,512,0.3,0.3,0.7753333648045858
BGRL,Cora,0.0001,256,512,512,0.3,0.3,0.7566667000452677
BGRL,Cora,0.0005,256,512,512,0.3,0.4,0.6946667035420736
BGRL,Cora,0.0005,256,512,512,0.3,0.4,0.6993333498636881
BGRL,Cora,0.0001,256,512,512,0.3,0.4,0.8086667060852051
BGRL,Cora,0.0001,256,512,512,0.3,0.4,0.7940000494321188
BGRL,Cora,0.0005,256,512,512,0.3,0.5,0.7020000418027242
BGRL,Cora,0.0005,256,512,512,0.3,0.5,0.7120000123977661
BGRL,Cora,0.0001,256,512,512,0.3,0.5,0.8160000244776408
BGRL,Cora,0.0001,256,512,512,0.3,0.5,0.8153333862622579
BGRL,Cora,0.0005,256,512,512,0.4,0.0,0.5180000166098276
BGRL,Cora,0.0005,256,512,512,0.4,0.0,0.510666698217392
BGRL,Cora,0.0001,256,512,512,0.4,0.0,0.6080000400543213
BGRL,Cora,0.0001,256,512,512,0.4,0.0,0.6073333621025085
BGRL,Cora,0.0005,256,512,512,0.4,0.1,0.5826666951179504
BGRL,Cora,0.0005,256,512,512,0.4,0.1,0.5693333745002747
BGRL,Cora,0.0001,256,512,512,0.4,0.1,0.7240000367164612
BGRL,Cora,0.0001,256,512,512,0.4,0.1,0.7073333660761515
BGRL,Cora,0.0005,256,512,512,0.4,0.2,0.662000040213267
BGRL,Cora,0.0005,256,512,512,0.4,0.2,0.6653333703676859
BGRL,Cora,0.0001,256,512,512,0.4,0.2,0.7360000411669413
BGRL,Cora,0.0001,256,512,512,0.4,0.2,0.7286667029062907
BGRL,Cora,0.0005,256,512,512,0.4,0.3,0.6813333630561829
BGRL,Cora,0.0005,256,512,512,0.4,0.3,0.6980000336964926
BGRL,Cora,0.0001,256,512,512,0.4,0.3,0.784000039100647
BGRL,Cora,0.0001,256,512,512,0.4,0.3,0.7880000472068787
BGRL,Cora,0.0005,256,512,512,0.4,0.4,0.7120000322659811
BGRL,Cora,0.0005,256,512,512,0.4,0.4,0.6960000395774841
BGRL,Cora,0.0001,256,512,512,0.4,0.4,0.802666703859965
BGRL,Cora,0.0001,256,512,512,0.4,0.4,0.7986666957537333
BGRL,Cora,0.0005,256,512,512,0.4,0.5,0.7146667043368021
BGRL,Cora,0.0005,256,512,512,0.4,0.5,0.7073333660761515
BGRL,Cora,0.0001,256,512,512,0.4,0.5,0.8200000325838724
BGRL,Cora,0.0001,256,512,512,0.4,0.5,0.8166667024294535
BGRL,Cora,0.0005,256,512,512,0.5,0.0,0.508000006278356
BGRL,Cora,0.0005,256,512,512,0.5,0.0,0.48000003894170123
BGRL,Cora,0.0001,256,512,512,0.5,0.0,0.5766666928927103
BGRL,Cora,0.0001,256,512,512,0.5,0.0,0.5753333568572998
BGRL,Cora,0.0005,256,512,512,0.5,0.1,0.5546666781107584
BGRL,Cora,0.0005,256,512,512,0.5,0.1,0.5940000414848328
BGRL,Cora,0.0001,256,512,512,0.5,0.1,0.7100000381469727
BGRL,Cora,0.0001,256,512,512,0.5,0.1,0.734000007311503
BGRL,Cora,0.0005,256,512,512,0.5,0.2,0.6680000424385071
BGRL,Cora,0.0005,256,512,512,0.5,0.2,0.6460000276565552
BGRL,Cora,0.0001,256,512,512,0.5,0.2,0.7286667029062907
BGRL,Cora,0.0001,256,512,512,0.5,0.2,0.736666719118754
BGRL,Cora,0.0005,256,512,512,0.5,0.3,0.6793333689371744
BGRL,Cora,0.0005,256,512,512,0.5,0.3,0.6680000225702921
BGRL,Cora,0.0001,256,512,512,0.5,0.3,0.799333373705546
BGRL,Cora,0.0001,256,512,512,0.5,0.3,0.7713333566983541
BGRL,Cora,0.0005,256,512,512,0.5,0.4,0.6880000432332357
BGRL,Cora,0.0005,256,512,512,0.5,0.4,0.7053333719571432
BGRL,Cora,0.0001,256,512,512,0.5,0.4,0.8113333781560262
BGRL,Cora,0.0001,256,512,512,0.5,0.4,0.8006667097409567
BGRL,Cora,0.0005,256,512,512,0.5,0.5,0.7206666866938273
BGRL,Cora,0.0005,256,512,512,0.5,0.5,0.6866667071978251
BGRL,Cora,0.0001,256,512,512,0.5,0.5,0.8066667119661967
BGRL,Cora,0.0001,256,512,512,0.5,0.5,0.8193333546320597
BGRL,Cora,0.0005,512,1024,1024,0.0,0.0,0.6760000387827555
BGRL,Cora,0.0005,512,1024,1024,0.0,0.0,0.6713333527247111
BGRL,Cora,0.0001,512,1024,1024,0.0,0.0,0.6293333570162455
BGRL,Cora,0.0001,512,1024,1024,0.0,0.0,0.5993333458900452
BGRL,Cora,0.0005,512,1024,1024,0.0,0.1,0.5293333729108175
BGRL,Cora,0.0005,512,1024,1024,0.0,0.1,0.5560000340143839
BGRL,Cora,0.0001,512,1024,1024,0.0,0.1,0.7173333764076233
BGRL,Cora,0.0001,512,1024,1024,0.0,0.1,0.7120000521341959
BGRL,Cora,0.0005,512,1024,1024,0.0,0.2,0.6920000513394674
BGRL,Cora,0.0005,512,1024,1024,0.0,0.2,0.6706666946411133
BGRL,Cora,0.0001,512,1024,1024,0.0,0.2,0.734000047047933
BGRL,Cora,0.0001,512,1024,1024,0.0,0.2,0.7373333772023519
BGRL,Cora,0.0005,512,1024,1024,0.0,0.3,0.7180000344912211
BGRL,Cora,0.0005,512,1024,1024,0.0,0.3,0.7266667087872823
BGRL,Cora,0.0001,512,1024,1024,0.0,0.3,0.7640000383059183
BGRL,Cora,0.0001,512,1024,1024,0.0,0.3,0.7506666978200277
BGRL,Cora,0.0005,512,1024,1024,0.0,0.4,0.6806667049725851
BGRL,Cora,0.0005,512,1024,1024,0.0,0.4,0.6940000454584757
BGRL,Cora,0.0001,512,1024,1024,0.0,0.4,0.7753333648045858
BGRL,Cora,0.0001,512,1024,1024,0.0,0.4,0.7800000309944153
BGRL,Cora,0.0005,512,1024,1024,0.0,0.5,0.656000037988027
BGRL,Cora,0.0005,512,1024,1024,0.0,0.5,0.6880000233650208
BGRL,Cora,0.0001,512,1024,1024,0.0,0.5,0.799333373705546
BGRL,Cora,0.0001,512,1024,1024,0.0,0.5,0.8106667002042135
BGRL,Cora,0.0005,512,1024,1024,0.1,0.0,0.5760000348091125
BGRL,Cora,0.0005,512,1024,1024,0.1,0.0,0.5546667079130808
BGRL,Cora,0.0001,512,1024,1024,0.1,0.0,0.6546666820844015
BGRL,Cora,0.0001,512,1024,1024,0.1,0.0,0.6366666952768961
BGRL,Cora,0.0005,512,1024,1024,0.1,0.1,0.6346667210261027
BGRL,Cora,0.0005,512,1024,1024,0.1,0.1,0.6186666886011759
BGRL,Cora,0.0001,512,1024,1024,0.1,0.1,0.7120000521341959
BGRL,Cora,0.0001,512,1024,1024,0.1,0.1,0.7206667065620422
BGRL,Cora,0.0005,512,1024,1024,0.1,0.2,0.6966666976610819
BGRL,Cora,0.0005,512,1024,1024,0.1,0.2,0.718666692574819
BGRL,Cora,0.0001,512,1024,1024,0.1,0.2,0.7566667199134827
BGRL,Cora,0.0001,512,1024,1024,0.1,0.2,0.7446666955947876
BGRL,Cora,0.0005,512,1024,1024,0.1,0.3,0.7200000484784445
BGRL,Cora,0.0005,512,1024,1024,0.1,0.3,0.7053333520889282
BGRL,Cora,0.0001,512,1024,1024,0.1,0.3,0.7440000375111898
BGRL,Cora,0.0001,512,1024,1024,0.1,0.3,0.765333374341329
BGRL,Cora,0.0005,512,1024,1024,0.1,0.4,0.7173333764076233
BGRL,Cora,0.0005,512,1024,1024,0.1,0.4,0.721333384513855
BGRL,Cora,0.0001,512,1024,1024,0.1,0.4,0.7920000354448954
BGRL,Cora,0.0001,512,1024,1024,0.1,0.4,0.7813333670298258
BGRL,Cora,0.0005,512,1024,1024,0.1,0.5,0.7300000389417013
BGRL,Cora,0.0005,512,1024,1024,0.1,0.5,0.7220000425974528
BGRL,Cora,0.0001,512,1024,1024,0.1,0.5,0.8013333876927694
BGRL,Cora,0.0001,512,1024,1024,0.1,0.5,0.7940000494321188
BGRL,Cora,0.0005,512,1024,1024,0.2,0.0,0.5100000301996866
BGRL,Cora,0.0005,512,1024,1024,0.2,0.0,0.5120000243186951
BGRL,Cora,0.0001,512,1024,1024,0.2,0.0,0.6420000394185384
BGRL,Cora,0.0001,512,1024,1024,0.2,0.0,0.640666683514913
BGRL,Cora,0.0005,512,1024,1024,0.2,0.1,0.6486667195955912
BGRL,Cora,0.0005,512,1024,1024,0.2,0.1,0.6340000232060751
BGRL,Cora,0.0001,512,1024,1024,0.2,0.1,0.7100000381469727
BGRL,Cora,0.0001,512,1024,1024,0.2,0.1,0.7200000484784445
BGRL,Cora,0.0005,512,1024,1024,0.2,0.2,0.690000037352244
BGRL,Cora,0.0005,512,1024,1024,0.2,0.2,0.7033333778381348
BGRL,Cora,0.0001,512,1024,1024,0.2,0.2,0.7446667154630026
BGRL,Cora,0.0001,512,1024,1024,0.2,0.2,0.7313333551088969
BGRL,Cora,0.0005,512,1024,1024,0.2,0.3,0.7053333719571432
BGRL,Cora,0.0005,512,1024,1024,0.2,0.3,0.6966666976610819
BGRL,Cora,0.0001,512,1024,1024,0.2,0.3,0.7553333640098572
BGRL,Cora,0.0001,512,1024,1024,0.2,0.3,0.7626667022705078
BGRL,Cora,0.0005,512,1024,1024,0.2,0.4,0.7073333660761515
BGRL,Cora,0.0005,512,1024,1024,0.2,0.4,0.6966666976610819
BGRL,Cora,0.0001,512,1024,1024,0.2,0.4,0.7786667148272196
BGRL,Cora,0.0001,512,1024,1024,0.2,0.4,0.7920000354448954
BGRL,Cora,0.0005,512,1024,1024,0.2,0.5,0.7346667051315308
BGRL,Cora,0.0005,512,1024,1024,0.2,0.5,0.7186667124430338
BGRL,Cora,0.0001,512,1024,1024,0.2,0.5,0.8026666839917501
BGRL,Cora,0.0001,512,1024,1024,0.2,0.5,0.7946667075157166
BGRL,Cora,0.0005,512,1024,1024,0.3,0.0,0.5200000206629435
BGRL,Cora,0.0005,512,1024,1024,0.3,0.0,0.5320000251134237
BGRL,Cora,0.0001,512,1024,1024,0.3,0.0,0.6166667143503824
BGRL,Cora,0.0001,512,1024,1024,0.3,0.0,0.6226666967074076
BGRL,Cora,0.0005,512,1024,1024,0.3,0.1,0.646666685740153
BGRL,Cora,0.0005,512,1024,1024,0.3,0.1,0.6800000468889872
BGRL,Cora,0.0001,512,1024,1024,0.3,0.1,0.7293333609898885
BGRL,Cora,0.0001,512,1024,1024,0.3,0.1,0.7160000403722128
BGRL,Cora,0.0005,512,1024,1024,0.3,0.2,0.6640000144640604
BGRL,Cora,0.0005,512,1024,1024,0.3,0.2,0.6866667071978251
BGRL,Cora,0.0001,512,1024,1024,0.3,0.2,0.7413333654403687
BGRL,Cora,0.0001,512,1024,1024,0.3,0.2,0.7086666822433472
BGRL,Cora,0.0005,512,1024,1024,0.3,0.3,0.6753333409627279
BGRL,Cora,0.0005,512,1024,1024,0.3,0.3,0.7040000359217325
BGRL,Cora,0.0001,512,1024,1024,0.3,0.3,0.7493333617846171
BGRL,Cora,0.0001,512,1024,1024,0.3,0.3,0.7686667044957479
BGRL,Cora,0.0005,512,1024,1024,0.3,0.4,0.7000000476837158
BGRL,Cora,0.0005,512,1024,1024,0.3,0.4,0.7040000160535177
BGRL,Cora,0.0001,512,1024,1024,0.3,0.4,0.7833333611488342
