model,dataset,epochs,layers,lambd,lr1,wd1,lr2,wd2,channels,edge_drop_rate,feat_mask_rate,mlp_use,val_acc
CCA-SSG,Cora,100,2,0.001,0.001,0.0,0.005,0.0001,512,0.1,0.4,False,0.8140000343322754
CCA-SSG,Cora,20,2,0.001,0.001,0.0,0.01,0.01,512,0.1,0.5,False,0.7532000422477723
CCA-SSG,Cora,50,2,0.001,0.001,0.0,0.01,0.01,512,0.1,0.5,False,0.7782000362873077
CCA-SSG,Cora,100,2,0.001,0.001,0.0,0.01,0.01,512,0.1,0.5,False,0.7930000364780426
CCA-SSG,Cora,20,2,0.001,0.001,0.0,0.01,0.0001,512,0.1,0.5,False,0.7954000413417817
CCA-SSG,Cora,50,2,0.001,0.001,0.0,0.01,0.0001,512,0.1,0.5,False,0.8008000373840332
CCA-SSG,Cora,100,2,0.001,0.001,0.0,0.01,0.0001,512,0.1,0.5,False,0.8140000343322754
CCA-SSG,Cora,20,2,0.001,0.001,0.0,0.005,0.01,512,0.1,0.5,False,0.7528000414371491
CCA-SSG,Cora,50,2,0.001,0.001,0.0,0.005,0.01,512,0.1,0.5,False,0.7786000370979309
CCA-SSG,Cora,100,2,0.001,0.001,0.0,0.005,0.01,512,0.1,0.5,False,0.789400041103363
CCA-SSG,Cora,20,2,0.001,0.001,0.0,0.005,0.0001,512,0.1,0.5,False,0.7930000364780426
CCA-SSG,Cora,50,2,0.001,0.001,0.0,0.005,0.0001,512,0.1,0.5,False,0.8030000448226928
CCA-SSG,Cora,100,2,0.001,0.001,0.0,0.005,0.0001,512,0.1,0.5,False,0.8136000394821167
CCA-SSG,Cora,20,2,0.001,0.001,0.0,0.01,0.01,512,0.2,0.1,False,0.7872000277042389
CCA-SSG,Cora,50,2,0.001,0.001,0.0,0.01,0.01,512,0.2,0.1,False,0.7924000382423401
CCA-SSG,Cora,100,2,0.001,0.001,0.0,0.01,0.01,512,0.2,0.1,False,0.790600037574768
CCA-SSG,Cora,20,2,0.001,0.001,0.0,0.01,0.0001,512,0.2,0.1,False,0.8108000457286835
CCA-SSG,Cora,50,2,0.001,0.001,0.0,0.01,0.0001,512,0.2,0.1,False,0.8158000349998474
CCA-SSG,Cora,100,2,0.001,0.001,0.0,0.01,0.0001,512,0.2,0.1,False,0.8092000424861908
CCA-SSG,Cora,20,2,0.001,0.001,0.0,0.005,0.01,512,0.2,0.1,False,0.7832000315189361
CCA-SSG,Cora,50,2,0.001,0.001,0.0,0.005,0.01,512,0.2,0.1,False,0.7938000440597535
CCA-SSG,Cora,100,2,0.001,0.001,0.0,0.005,0.01,512,0.2,0.1,False,0.7854000389575958
CCA-SSG,Cora,20,2,0.001,0.001,0.0,0.005,0.0001,512,0.2,0.1,False,0.8166000425815583
CCA-SSG,Cora,50,2,0.001,0.001,0.0,0.005,0.0001,512,0.2,0.1,False,0.8152000367641449
CCA-SSG,Cora,100,2,0.001,0.001,0.0,0.005,0.0001,512,0.2,0.1,False,0.8062000334262848
CCA-SSG,Cora,20,2,0.001,0.001,0.0,0.01,0.01,512,0.2,0.2,False,0.7898000299930572
CCA-SSG,Cora,50,2,0.001,0.001,0.0,0.01,0.01,512,0.2,0.2,False,0.789600032567978
CCA-SSG,Cora,100,2,0.001,0.001,0.0,0.01,0.01,512,0.2,0.2,False,0.7930000305175782
CCA-SSG,Cora,20,2,0.001,0.001,0.0,0.01,0.0001,512,0.2,0.2,False,0.8048000395298004
CCA-SSG,Cora,50,2,0.001,0.001,0.0,0.01,0.0001,512,0.2,0.2,False,0.8128000319004058
