model,dataset,epochs,layers,tau,lr1,wd1,lr2,wd2,channels,feat_mask_rate,edge_drop_rate,mlp_use,val_acc
CLGR,Cora,100,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.3,False,0.7764000356197357
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.3,False,0.7902000367641449
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.3,False,0.8148000538349152
CLGR,Cora,100,2,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.3,False,0.8068000376224518
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.2,0.3,False,0.7940000355243683
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.2,0.3,False,0.8196000397205353
CLGR,Cora,100,2,0.5,0.001,1e-05,0.01,0.0001,256,0.2,0.3,False,0.8186000347137451
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.3,0.3,False,0.789400041103363
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.3,0.3,False,0.806600034236908
CLGR,Cora,100,2,0.5,0.001,1e-05,0.01,0.0001,256,0.3,0.3,False,0.8194000422954559
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.4,0.3,False,0.7832000434398652
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.4,0.3,False,0.8022000432014466
CLGR,Cora,100,2,0.5,0.001,1e-05,0.01,0.0001,256,0.4,0.3,False,0.8194000363349915
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.5,0.3,False,0.7844000339508057
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.5,0.3,False,0.7948000371456146
CLGR,Cora,100,2,0.5,0.001,1e-05,0.01,0.0001,256,0.5,0.3,False,0.8178000450134277
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.4,False,0.7930000305175782
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.4,False,0.8070000290870667
CLGR,Cora,100,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.4,False,0.7870000302791595
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.4,False,0.789600032567978
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.4,False,0.809600031375885
CLGR,Cora,100,2,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.4,False,0.810200035572052
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.2,0.4,False,0.7898000478744507
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.2,0.4,False,0.8158000409603119
CLGR,Cora,100,2,0.5,0.001,1e-05,0.01,0.0001,256,0.2,0.4,False,0.8202000379562377
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.3,0.4,False,0.7824000358581543
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.3,0.4,False,0.8062000334262848
CLGR,Cora,100,2,0.5,0.001,1e-05,0.01,0.0001,256,0.3,0.4,False,0.8240000426769256
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.4,0.4,False,0.7886000394821167
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.4,0.4,False,0.8006000339984893
CLGR,Cora,100,2,0.5,0.001,1e-05,0.01,0.0001,256,0.4,0.4,False,0.8176000416278839
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.5,0.4,False,0.7814000427722931
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.5,0.4,False,0.7920000374317169
CLGR,Cora,100,2,0.5,0.001,1e-05,0.01,0.0001,256,0.5,0.4,False,0.8182000398635865
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.5,False,0.7998000383377075
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.5,False,0.8108000457286835
CLGR,Cora,100,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.5,False,0.8032000303268433
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.5,False,0.7932000458240509
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.5,False,0.8176000356674195
CLGR,Cora,100,2,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.5,False,0.8196000456809998
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.2,0.5,False,0.7864000380039216
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.2,0.5,False,0.8168000340461731
CLGR,Cora,100,2,0.5,0.001,1e-05,0.01,0.0001,256,0.2,0.5,False,0.8274000406265258
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.3,0.5,False,0.78340003490448
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.3,0.5,False,0.8080000400543212
