model,dataset,epochs,layers,tau,lr1,wd1,lr2,wd2,channels,feat_mask_rate,edge_drop_rate,mlp_use,val_acc
CLGR,Cora,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.2,0.2,False,0.7938000440597535
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.2,0.2,False,0.7900000393390656
CLGR,Cora,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.2,0.2,False,0.812600040435791
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.2,0.2,False,0.8120000422000885
CLGR,Cora,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.3,0.2,False,0.7862000346183777
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.3,0.2,False,0.7860000312328339
CLGR,Cora,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.3,0.2,False,0.8158000349998474
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.3,0.2,False,0.8078000485897064
CLGR,Cora,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.4,0.2,False,0.7782000422477722
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.4,0.2,False,0.7866000413894654
CLGR,Cora,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.4,0.2,False,0.8018000245094299
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.4,0.2,False,0.8040000379085541
CLGR,Cora,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.5,0.2,False,0.7746000289916992
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.5,0.2,False,0.7866000413894654
CLGR,Cora,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.5,0.2,False,0.7934000313282012
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.5,0.2,False,0.7904000461101532
CLGR,Cora,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.3,False,0.7964000463485718
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.3,False,0.7916000366210938
CLGR,Cora,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.3,False,0.796200031042099
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.3,False,0.7946000337600708
CLGR,Cora,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.3,False,0.8030000388622284
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.3,False,0.7914000272750854
CLGR,Cora,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.3,False,0.8190000414848327
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.3,False,0.8148000359535217
CLGR,Cora,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.2,0.3,False,0.7868000447750092
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.2,0.3,False,0.7960000395774841
CLGR,Cora,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.2,0.3,False,0.812600040435791
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.2,0.3,False,0.8140000343322754
CLGR,Cora,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.3,0.3,False,0.7844000458717346
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.3,0.3,False,0.7856000423431396
CLGR,Cora,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.3,0.3,False,0.8044000327587127
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.3,0.3,False,0.8060000360012054
CLGR,Cora,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.4,0.3,False,0.7824000418186188
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.4,0.3,False,0.7838000357151031
CLGR,Cora,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.4,0.3,False,0.805200046300888
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.4,0.3,False,0.8012000381946563
CLGR,Cora,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.5,0.3,False,0.7808000326156617
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.5,0.3,False,0.7736000418663025
CLGR,Cora,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.5,0.3,False,0.7946000397205353
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.5,0.3,False,0.787000036239624
CLGR,Cora,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.4,False,0.7982000470161438
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.4,False,0.7952000379562378
CLGR,Cora,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.4,False,0.8088000297546387
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.4,False,0.8038000345230103
CLGR,Cora,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.4,False,0.7960000395774841
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.4,False,0.7920000433921814
CLGR,Cora,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.4,False,0.813800036907196
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.4,False,0.8148000359535217
CLGR,Cora,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.2,0.4,False,0.7918000400066376
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.2,0.4,False,0.7894000351428986
CLGR,Cora,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.2,0.4,False,0.8152000308036804
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.2,0.4,False,0.8120000302791596
CLGR,Cora,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.3,0.4,False,0.7886000335216522
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.3,0.4,False,0.7886000454425812
CLGR,Cora,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.3,0.4,False,0.8086000382900238
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.3,0.4,False,0.8056000411510468
CLGR,Cora,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.4,0.4,False,0.7872000396251678
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.4,0.4,False,0.7862000346183777
CLGR,Cora,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.4,0.4,False,0.7994000434875488
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.4,0.4,False,0.8038000404834748
CLGR,Cora,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.5,0.4,False,0.7772000312805176
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.5,0.4,False,0.7766000330448151
CLGR,Cora,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.5,0.4,False,0.7990000307559967
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.5,0.4,False,0.7872000396251678
CLGR,Cora,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.5,False,0.7934000372886658
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.5,False,0.7970000326633453
CLGR,Cora,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.5,False,0.8130000293254852
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.5,False,0.8148000359535217
CLGR,Cora,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.5,False,0.796800035238266
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.5,False,0.7930000364780426
CLGR,Cora,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.5,False,0.8130000352859497
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.5,False,0.8190000414848327
CLGR,Cora,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.2,0.5,False,0.7838000416755676
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.2,0.5,False,0.788800036907196
CLGR,Cora,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.2,0.5,False,0.8128000378608704
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.2,0.5,False,0.8162000358104706
CLGR,Cora,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.3,0.5,False,0.7872000336647034
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.3,0.5,False,0.7810000419616699
CLGR,Cora,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.3,0.5,False,0.8148000359535217
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.3,0.5,False,0.8104000389575958
CLGR,Cora,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.4,0.5,False,0.7824000418186188
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.4,0.5,False,0.7862000405788422
CLGR,Cora,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.4,0.5,False,0.7976000308990479
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.4,0.5,False,0.8020000457763672
CLGR,Cora,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.5,0.5,False,0.7784000277519226
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.5,0.5,False,0.7746000230312348
CLGR,Cora,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.5,0.5,False,0.7966000378131867
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.5,0.5,False,0.7952000379562378
CLGR,Cora,20,2,0.5,0.001,0.0,0.01,0.0001,512,0.0,0.0,False,0.44400001764297486
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,512,0.0,0.0,False,0.4460000216960907
CLGR,Cora,50,2,0.5,0.001,0.0,0.01,0.0001,512,0.0,0.0,False,0.36960001587867736
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,512,0.0,0.0,False,0.3756000161170959
CLGR,Cora,20,2,0.5,0.001,0.0,0.01,0.0001,512,0.1,0.0,False,0.788800048828125
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,512,0.1,0.0,False,0.7854000449180603
CLGR,Cora,50,2,0.5,0.001,0.0,0.01,0.0001,512,0.1,0.0,False,0.7652000308036804
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,512,0.1,0.0,False,0.7648000299930573
CLGR,Cora,20,2,0.5,0.001,0.0,0.01,0.0001,512,0.2,0.0,False,0.7946000337600708
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,512,0.2,0.0,False,0.7958000421524047
CLGR,Cora,50,2,0.5,0.001,0.0,0.01,0.0001,512,0.2,0.0,False,0.8014000296592713
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,512,0.2,0.0,False,0.8006000339984893
CLGR,Cora,20,2,0.5,0.001,0.0,0.01,0.0001,512,0.3,0.0,False,0.7888000428676605
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,512,0.3,0.0,False,0.7902000427246094
CLGR,Cora,50,2,0.5,0.001,0.0,0.01,0.0001,512,0.3,0.0,False,0.8116000294685364
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,512,0.3,0.0,False,0.8106000423431396
CLGR,Cora,20,2,0.5,0.001,0.0,0.01,0.0001,512,0.4,0.0,False,0.7914000391960144
