model,dataset,epochs,layers,tau,lr1,wd1,lr2,wd2,channels,feat_mask_rate,edge_drop_rate,mlp_use,val_acc
CLGR,CiteSeer,100,1,0.5,0.001,1e-05,0.01,0.0001,256,0.5,0.2,False,0.7350000321865082
CLGR,CiteSeer,20,1,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.3,False,0.6898000299930572
CLGR,CiteSeer,50,1,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.3,False,0.6178000330924988
CLGR,CiteSeer,100,1,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.3,False,0.5422000288963318
CLGR,CiteSeer,20,1,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.3,False,0.7190000414848328
CLGR,CiteSeer,50,1,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.3,False,0.7050000309944153
CLGR,CiteSeer,100,1,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.3,False,0.6796000242233277
CLGR,CiteSeer,20,1,0.5,0.001,1e-05,0.01,0.0001,256,0.2,0.3,False,0.7248000383377076
CLGR,CiteSeer,50,1,0.5,0.001,1e-05,0.01,0.0001,256,0.2,0.3,False,0.7286000311374664
CLGR,CiteSeer,100,1,0.5,0.001,1e-05,0.01,0.0001,256,0.2,0.3,False,0.7080000162124633
CLGR,CiteSeer,20,1,0.5,0.001,1e-05,0.01,0.0001,256,0.3,0.3,False,0.7222000360488892
CLGR,CiteSeer,50,1,0.5,0.001,1e-05,0.01,0.0001,256,0.3,0.3,False,0.7276000440120697
CLGR,CiteSeer,100,1,0.5,0.001,1e-05,0.01,0.0001,256,0.3,0.3,False,0.729800033569336
CLGR,CiteSeer,20,1,0.5,0.001,1e-05,0.01,0.0001,256,0.4,0.3,False,0.7166000306606293
CLGR,CiteSeer,50,1,0.5,0.001,1e-05,0.01,0.0001,256,0.4,0.3,False,0.7300000429153443
CLGR,CiteSeer,100,1,0.5,0.001,1e-05,0.01,0.0001,256,0.4,0.3,False,0.7316000401973725
CLGR,CiteSeer,20,1,0.5,0.001,1e-05,0.01,0.0001,256,0.5,0.3,False,0.7162000298500061
CLGR,CiteSeer,50,1,0.5,0.001,1e-05,0.01,0.0001,256,0.5,0.3,False,0.7290000319480896
CLGR,CiteSeer,100,1,0.5,0.001,1e-05,0.01,0.0001,256,0.5,0.3,False,0.7338000416755677
CLGR,CiteSeer,20,1,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.4,False,0.7044000327587128
