model,dataset,projection,epochs,channels,lr1,lr2,wd2,edge_drop_rate,feat_mask_rate,val_acc
GRACE,CiteSeer,nonlinear-hid,100,512,0.001,0.01,0.0001,0.3,0.2,0.6940000057220459
GRACE,CiteSeer,nonlinear,100,512,0.001,0.01,0.0001,0.3,0.2,0.6993333498636881
GRACE,CiteSeer,linear,100,512,0.001,0.01,0.0001,0.3,0.2,0.7000000278155009
GRACE,CiteSeer,nonlinear-hid,100,512,0.001,0.01,0.0001,0.3,0.3,0.7000000278155009
GRACE,CiteSeer,nonlinear,100,512,0.001,0.01,0.0001,0.3,0.3,0.6993333498636881
GRACE,CiteSeer,linear,100,512,0.001,0.01,0.0001,0.3,0.3,0.7126666903495789
GRACE,CiteSeer,nonlinear-hid,100,512,0.001,0.01,0.0001,0.3,0.4,0.7140000263849894
GRACE,CiteSeer,nonlinear,100,512,0.001,0.01,0.0001,0.3,0.4,0.7206667065620422
GRACE,CiteSeer,linear,100,512,0.001,0.01,0.0001,0.3,0.4,0.7120000322659811
GRACE,CiteSeer,nonlinear-hid,100,512,0.001,0.01,0.0001,0.3,0.5,0.7100000381469727
GRACE,CiteSeer,nonlinear,100,512,0.001,0.01,0.0001,0.3,0.5,0.7200000286102295
GRACE,CiteSeer,linear,100,512,0.001,0.01,0.0001,0.3,0.5,0.7166666984558105
GRACE,CiteSeer,nonlinear-hid,100,512,0.001,0.01,0.0001,0.4,0.0,0.6693333784739176
GRACE,CiteSeer,nonlinear,100,512,0.001,0.01,0.0001,0.4,0.0,0.6633333762486776
GRACE,CiteSeer,linear,100,512,0.001,0.01,0.0001,0.4,0.0,0.6720000505447388
GRACE,CiteSeer,nonlinear-hid,100,512,0.001,0.01,0.0001,0.4,0.1,0.6880000233650208
GRACE,CiteSeer,nonlinear,100,512,0.001,0.01,0.0001,0.4,0.1,0.6753333806991577
GRACE,CiteSeer,linear,100,512,0.001,0.01,0.0001,0.4,0.1,0.6846666932106018
GRACE,CiteSeer,nonlinear-hid,100,512,0.001,0.01,0.0001,0.4,0.2,0.7066666881243387
GRACE,CiteSeer,nonlinear,100,512,0.001,0.01,0.0001,0.4,0.2,0.6986666917800903
GRACE,CiteSeer,linear,100,512,0.001,0.01,0.0001,0.4,0.2,0.7020000219345093
GRACE,CiteSeer,nonlinear-hid,100,512,0.001,0.01,0.0001,0.4,0.3,0.7080000440279642
GRACE,CiteSeer,nonlinear,100,512,0.001,0.01,0.0001,0.4,0.3,0.7160000205039978
GRACE,CiteSeer,linear,100,512,0.001,0.01,0.0001,0.4,0.3,0.6986666917800903
GRACE,CiteSeer,nonlinear-hid,100,512,0.001,0.01,0.0001,0.4,0.4,0.7113333741823832
GRACE,CiteSeer,nonlinear,100,512,0.001,0.01,0.0001,0.4,0.4,0.7166667183240255
GRACE,CiteSeer,linear,100,512,0.001,0.01,0.0001,0.4,0.4,0.7220000227292379
GRACE,CiteSeer,nonlinear-hid,100,512,0.001,0.01,0.0001,0.4,0.5,0.7160000403722128
GRACE,CiteSeer,nonlinear,100,512,0.001,0.01,0.0001,0.4,0.5,0.7260000308354696
GRACE,CiteSeer,linear,100,512,0.001,0.01,0.0001,0.4,0.5,0.7053333719571432
GRACE,CiteSeer,nonlinear-hid,100,512,0.001,0.01,0.0001,0.5,0.0,0.671333372592926
GRACE,CiteSeer,nonlinear,100,512,0.001,0.01,0.0001,0.5,0.0,0.6666666865348816
GRACE,CiteSeer,linear,100,512,0.001,0.01,0.0001,0.5,0.0,0.6673333644866943
GRACE,CiteSeer,nonlinear-hid,100,512,0.001,0.01,0.0001,0.5,0.1,0.7073333660761515
GRACE,CiteSeer,nonlinear,100,512,0.001,0.01,0.0001,0.5,0.1,0.6920000116030375
GRACE,CiteSeer,linear,100,512,0.001,0.01,0.0001,0.5,0.1,0.6920000314712524
GRACE,CiteSeer,nonlinear-hid,100,512,0.001,0.01,0.0001,0.5,0.2,0.6946667035420736
GRACE,CiteSeer,nonlinear,100,512,0.001,0.01,0.0001,0.5,0.2,0.706000030040741
GRACE,CiteSeer,linear,100,512,0.001,0.01,0.0001,0.5,0.2,0.7013333638509115
GRACE,CiteSeer,nonlinear-hid,100,512,0.001,0.01,0.0001,0.5,0.3,0.7113333543141683
GRACE,CiteSeer,nonlinear,100,512,0.001,0.01,0.0001,0.5,0.3,0.7160000403722128
GRACE,CiteSeer,linear,100,512,0.001,0.01,0.0001,0.5,0.3,0.7113333741823832
GRACE,CiteSeer,nonlinear-hid,100,512,0.001,0.01,0.0001,0.5,0.4,0.7160000205039978
GRACE,CiteSeer,nonlinear,100,512,0.001,0.01,0.0001,0.5,0.4,0.7226667006810507
GRACE,CiteSeer,linear,100,512,0.001,0.01,0.0001,0.5,0.4,0.7206667065620422
GRACE,CiteSeer,nonlinear-hid,100,512,0.001,0.01,0.0001,0.5,0.5,0.7080000241597494
GRACE,CiteSeer,nonlinear,100,512,0.001,0.01,0.0001,0.5,0.5,0.7246667146682739
GRACE,CiteSeer,linear,100,512,0.001,0.01,0.0001,0.5,0.5,0.7286667029062907
