model,dataset,projection,epochs,channels,lr1,lr2,wd2,edge_drop_rate,feat_mask_rate,val_acc
GRACE,Photo,nonlinear-hid,2000,256,0.01,0.01,0.0001,0.1,0.4,0.914596954981486
GRACE,Photo,nonlinear,2000,256,0.01,0.01,0.0001,0.1,0.4,0.9215686321258545
GRACE,Photo,linear,2000,256,0.01,0.01,0.0001,0.1,0.4,0.9228758215904236
GRACE,Photo,nonlinear-hid,2000,256,0.1,0.01,0.0001,0.1,0.5,0.786928117275238
GRACE,Photo,nonlinear,2000,256,0.1,0.01,0.0001,0.1,0.5,0.885838786760966
GRACE,Photo,linear,2000,256,0.1,0.01,0.0001,0.1,0.5,0.8867102464040121
GRACE,Photo,nonlinear-hid,2000,256,0.01,0.01,0.0001,0.1,0.5,0.914161225159963
GRACE,Photo,nonlinear,2000,256,0.01,0.01,0.0001,0.1,0.5,0.9154684146245321
GRACE,Photo,linear,2000,256,0.01,0.01,0.0001,0.1,0.5,0.9032679796218872
GRACE,Photo,nonlinear-hid,2000,256,0.1,0.01,0.0001,0.2,0.0,0.6806100308895111
GRACE,Photo,nonlinear,2000,256,0.1,0.01,0.0001,0.2,0.0,0.7668845454851786
GRACE,Photo,linear,2000,256,0.1,0.01,0.0001,0.2,0.0,0.8653594851493835
GRACE,Photo,nonlinear-hid,2000,256,0.01,0.01,0.0001,0.2,0.0,0.9189542531967163
GRACE,Photo,nonlinear,2000,256,0.01,0.01,0.0001,0.2,0.0,0.928976039091746
GRACE,Photo,linear,2000,256,0.01,0.01,0.0001,0.2,0.0,0.9263616601626078
GRACE,Photo,nonlinear-hid,2000,256,0.1,0.01,0.0001,0.2,0.1,0.7272331217924753
GRACE,Photo,nonlinear,2000,256,0.1,0.01,0.0001,0.2,0.1,0.664052297671636
GRACE,Photo,linear,2000,256,0.1,0.01,0.0001,0.2,0.1,0.885838786760966
GRACE,Photo,nonlinear-hid,2000,256,0.01,0.01,0.0001,0.2,0.1,0.9324618776639303
GRACE,Photo,nonlinear,2000,256,0.01,0.01,0.0001,0.2,0.1,0.94248366355896
GRACE,Photo,linear,2000,256,0.01,0.01,0.0001,0.2,0.1,0.9233115514119467
GRACE,Photo,nonlinear-hid,2000,256,0.1,0.01,0.0001,0.2,0.2,0.5760348737239838
GRACE,Photo,nonlinear,2000,256,0.1,0.01,0.0001,0.2,0.2,0.900653600692749
GRACE,Photo,linear,2000,256,0.1,0.01,0.0001,0.2,0.2,0.8976034919420878
GRACE,Photo,nonlinear-hid,2000,256,0.01,0.01,0.0001,0.2,0.2,0.9189542531967163
GRACE,Photo,nonlinear,2000,256,0.01,0.01,0.0001,0.2,0.2,0.9220043619473776
GRACE,Photo,linear,2000,256,0.01,0.01,0.0001,0.2,0.2,0.9215686321258545
GRACE,Photo,nonlinear-hid,2000,256,0.1,0.01,0.0001,0.2,0.3,0.9037037094434103
GRACE,Photo,nonlinear,2000,256,0.1,0.01,0.0001,0.2,0.3,0.9054466287295023
GRACE,Photo,linear,2000,256,0.1,0.01,0.0001,0.2,0.3,0.8888888955116272
GRACE,Photo,nonlinear-hid,2000,256,0.01,0.01,0.0001,0.2,0.3,0.914596954981486
GRACE,Photo,nonlinear,2000,256,0.01,0.01,0.0001,0.2,0.3,0.928540309270223
GRACE,Photo,linear,2000,256,0.01,0.01,0.0001,0.2,0.3,0.9211329023043314
GRACE,Photo,nonlinear-hid,2000,256,0.1,0.01,0.0001,0.2,0.4,0.8993464112281799
GRACE,Photo,nonlinear,2000,256,0.1,0.01,0.0001,0.2,0.4,0.8941176533699036
GRACE,Photo,linear,2000,256,0.1,0.01,0.0001,0.2,0.4,0.8980392217636108
GRACE,Photo,nonlinear-hid,2000,256,0.01,0.01,0.0001,0.2,0.4,0.9250544706980387
GRACE,Photo,nonlinear,2000,256,0.01,0.01,0.0001,0.2,0.4,0.9311546881993612
GRACE,Photo,linear,2000,256,0.01,0.01,0.0001,0.2,0.4,0.9137254953384399
GRACE,Photo,nonlinear-hid,2000,256,0.1,0.01,0.0001,0.2,0.5,0.9076252778371176
GRACE,Photo,nonlinear,2000,256,0.1,0.01,0.0001,0.2,0.5,0.8923747340838114
GRACE,Photo,linear,2000,256,0.1,0.01,0.0001,0.2,0.5,0.8810457587242126
GRACE,Photo,nonlinear-hid,2000,256,0.01,0.01,0.0001,0.2,0.5,0.9167756040891012
GRACE,Photo,nonlinear,2000,256,0.01,0.01,0.0001,0.2,0.5,0.9198257128397623
GRACE,Photo,linear,2000,256,0.01,0.01,0.0001,0.2,0.5,0.9189542531967163
GRACE,Photo,nonlinear-hid,2000,256,0.1,0.01,0.0001,0.3,0.0,0.8047930399576823
GRACE,Photo,nonlinear,2000,256,0.1,0.01,0.0001,0.3,0.0,0.8771241903305054
GRACE,Photo,linear,2000,256,0.1,0.01,0.0001,0.3,0.0,0.8483660221099854
GRACE,Photo,nonlinear-hid,2000,256,0.01,0.01,0.0001,0.3,0.0,0.9263616601626078
GRACE,Photo,nonlinear,2000,256,0.01,0.01,0.0001,0.3,0.0,0.9368191758791605
GRACE,Photo,linear,2000,256,0.01,0.01,0.0001,0.3,0.0,0.9263616601626078
GRACE,Photo,nonlinear-hid,2000,256,0.1,0.01,0.0001,0.3,0.1,0.9076252778371176
GRACE,Photo,nonlinear,2000,256,0.1,0.01,0.0001,0.3,0.1,0.8832244078318278
GRACE,Photo,linear,2000,256,0.1,0.01,0.0001,0.3,0.1,0.8649237553278605
GRACE,Photo,nonlinear-hid,2000,256,0.01,0.01,0.0001,0.3,0.1,0.9328976074854533
GRACE,Photo,nonlinear,2000,256,0.01,0.01,0.0001,0.3,0.1,0.9228758215904236
GRACE,Photo,linear,2000,256,0.01,0.01,0.0001,0.3,0.1,0.928976039091746
GRACE,Photo,nonlinear-hid,2000,256,0.1,0.01,0.0001,0.3,0.2,0.708061009645462
GRACE,Photo,nonlinear,2000,256,0.1,0.01,0.0001,0.3,0.2,0.9102396567662557
GRACE,Photo,linear,2000,256,0.1,0.01,0.0001,0.3,0.2,0.8827886780103048
GRACE,Photo,nonlinear-hid,2000,256,0.01,0.01,0.0001,0.3,0.2,0.9228758215904236
GRACE,Photo,nonlinear,2000,256,0.01,0.01,0.0001,0.3,0.2,0.9320261478424072
GRACE,Photo,linear,2000,256,0.01,0.01,0.0001,0.3,0.2,0.9250544706980387
GRACE,Photo,nonlinear-hid,2000,256,0.1,0.01,0.0001,0.3,0.3,0.7455337742964426
GRACE,Photo,nonlinear,2000,256,0.1,0.01,0.0001,0.3,0.3,0.8888888955116272
GRACE,Photo,linear,2000,256,0.1,0.01,0.0001,0.3,0.3,0.8836601376533508
GRACE,Photo,nonlinear-hid,2000,256,0.01,0.01,0.0001,0.3,0.3,0.9228758215904236
GRACE,Photo,nonlinear,2000,256,0.01,0.01,0.0001,0.3,0.3,0.9259259303410848
GRACE,Photo,linear,2000,256,0.01,0.01,0.0001,0.3,0.3,0.9185185233751932
GRACE,Photo,nonlinear-hid,2000,256,0.1,0.01,0.0001,0.3,0.4,0.8954248428344727
GRACE,Photo,nonlinear,2000,256,0.1,0.01,0.0001,0.3,0.4,0.9050108989079794
GRACE,Photo,linear,2000,256,0.1,0.01,0.0001,0.3,0.4,0.8753812710444132
GRACE,Photo,nonlinear-hid,2000,256,0.01,0.01,0.0001,0.3,0.4,0.9189542531967163
GRACE,Photo,nonlinear,2000,256,0.01,0.01,0.0001,0.3,0.4,0.9206971724828085
GRACE,Photo,linear,2000,256,0.01,0.01,0.0001,0.3,0.4,0.9176470637321472
GRACE,Photo,nonlinear-hid,2000,256,0.1,0.01,0.0001,0.3,0.5,0.7167756060759226
GRACE,Photo,nonlinear,2000,256,0.1,0.01,0.0001,0.3,0.5,0.9010893305142721
GRACE,Photo,linear,2000,256,0.1,0.01,0.0001,0.3,0.5,0.8936819235483805
GRACE,Photo,nonlinear-hid,2000,256,0.01,0.01,0.0001,0.3,0.5,0.9211329023043314
GRACE,Photo,nonlinear,2000,256,0.01,0.01,0.0001,0.3,0.5,0.9115468462308248
GRACE,Photo,linear,2000,256,0.01,0.01,0.0001,0.3,0.5,0.9137254953384399
GRACE,Photo,nonlinear-hid,2000,256,0.1,0.01,0.0001,0.4,0.0,0.5259259343147278
GRACE,Photo,nonlinear,2000,256,0.1,0.01,0.0001,0.4,0.0,0.7642701665560404
GRACE,Photo,linear,2000,256,0.1,0.01,0.0001,0.4,0.0,0.8457516431808472
GRACE,Photo,nonlinear-hid,2000,256,0.01,0.01,0.0001,0.4,0.0,0.9311546881993612
GRACE,Photo,nonlinear,2000,256,0.01,0.01,0.0001,0.4,0.0,0.9189542531967163
GRACE,Photo,linear,2000,256,0.01,0.01,0.0001,0.4,0.0,0.9267973899841309
GRACE,Photo,nonlinear-hid,2000,256,0.1,0.01,0.0001,0.4,0.1,0.7564270198345184
GRACE,Photo,nonlinear,2000,256,0.1,0.01,0.0001,0.4,0.1,0.8945533831914266
GRACE,Photo,linear,2000,256,0.1,0.01,0.0001,0.4,0.1,0.8923747340838114
GRACE,Photo,nonlinear-hid,2000,256,0.01,0.01,0.0001,0.4,0.1,0.9263616601626078
GRACE,Photo,nonlinear,2000,256,0.01,0.01,0.0001,0.4,0.1,0.9320261478424072
GRACE,Photo,linear,2000,256,0.01,0.01,0.0001,0.4,0.1,0.929411768913269
GRACE,Photo,nonlinear-hid,2000,256,0.1,0.01,0.0001,0.4,0.2,0.8126361767450968
GRACE,Photo,nonlinear,2000,256,0.1,0.01,0.0001,0.4,0.2,0.9084967374801636
GRACE,Photo,linear,2000,256,0.1,0.01,0.0001,0.4,0.2,0.9115468462308248
GRACE,Photo,nonlinear-hid,2000,256,0.01,0.01,0.0001,0.4,0.2,0.9311546881993612
GRACE,Photo,nonlinear,2000,256,0.01,0.01,0.0001,0.4,0.2,0.928976039091746
GRACE,Photo,linear,2000,256,0.01,0.01,0.0001,0.4,0.2,0.9159041444460551
GRACE,Photo,nonlinear-hid,2000,256,0.1,0.01,0.0001,0.4,0.3,0.7328976094722748
GRACE,Photo,nonlinear,2000,256,0.1,0.01,0.0001,0.4,0.3,0.9063180883725485
GRACE,Photo,linear,2000,256,0.1,0.01,0.0001,0.4,0.3,0.8705882430076599
GRACE,Photo,nonlinear-hid,2000,256,0.01,0.01,0.0001,0.4,0.3,0.9403050144513448
GRACE,Photo,nonlinear,2000,256,0.01,0.01,0.0001,0.4,0.3,0.9211329023043314
GRACE,Photo,linear,2000,256,0.01,0.01,0.0001,0.4,0.3,0.9346405267715454
GRACE,Photo,nonlinear-hid,2000,256,0.1,0.01,0.0001,0.4,0.4,0.7102396587530772
GRACE,Photo,nonlinear,2000,256,0.1,0.01,0.0001,0.4,0.4,0.8993464112281799
GRACE,Photo,linear,2000,256,0.1,0.01,0.0001,0.4,0.4,0.8836601376533508
GRACE,Photo,nonlinear-hid,2000,256,0.01,0.01,0.0001,0.4,0.4,0.9193899830182394
GRACE,Photo,nonlinear,2000,256,0.01,0.01,0.0001,0.4,0.4,0.9237472812334696
GRACE,Photo,linear,2000,256,0.01,0.01,0.0001,0.4,0.4,0.9324618776639303
GRACE,Photo,nonlinear-hid,2000,256,0.1,0.01,0.0001,0.4,0.5,0.7241830130418142
GRACE,Photo,nonlinear,2000,256,0.1,0.01,0.0001,0.4,0.5,0.8954248428344727
GRACE,Photo,linear,2000,256,0.1,0.01,0.0001,0.4,0.5,0.8766884605089823
GRACE,Photo,nonlinear-hid,2000,256,0.01,0.01,0.0001,0.4,0.5,0.9167756040891012
GRACE,Photo,nonlinear,2000,256,0.01,0.01,0.0001,0.4,0.5,0.9159041444460551
GRACE,Photo,linear,2000,256,0.01,0.01,0.0001,0.4,0.5,0.9172113339106241
GRACE,Photo,nonlinear-hid,2000,256,0.1,0.01,0.0001,0.5,0.0,0.6875817080338796
GRACE,Photo,nonlinear,2000,256,0.1,0.01,0.0001,0.5,0.0,0.8832244078318278
GRACE,Photo,linear,2000,256,0.1,0.01,0.0001,0.5,0.0,0.8461873730023702
GRACE,Photo,nonlinear-hid,2000,256,0.01,0.01,0.0001,0.5,0.0,0.9302832285563151
GRACE,Photo,nonlinear,2000,256,0.01,0.01,0.0001,0.5,0.0,0.928976039091746
GRACE,Photo,linear,2000,256,0.01,0.01,0.0001,0.5,0.0,0.9250544706980387
GRACE,Photo,nonlinear-hid,2000,256,0.1,0.01,0.0001,0.5,0.1,0.7686274548371633
GRACE,Photo,nonlinear,2000,256,0.1,0.01,0.0001,0.5,0.1,0.8701525131861368
GRACE,Photo,linear,2000,256,0.1,0.01,0.0001,0.5,0.1,0.9045751690864563
GRACE,Photo,nonlinear-hid,2000,256,0.01,0.01,0.0001,0.5,0.1,0.9254902005195618
GRACE,Photo,nonlinear,2000,256,0.01,0.01,0.0001,0.5,0.1,0.9355119864145914
GRACE,Photo,linear,2000,256,0.01,0.01,0.0001,0.5,0.1,0.914596954981486
GRACE,Photo,nonlinear-hid,2000,256,0.1,0.01,0.0001,0.5,0.2,0.7237472832202911
GRACE,Photo,nonlinear,2000,256,0.1,0.01,0.0001,0.5,0.2,0.914161225159963
GRACE,Photo,linear,2000,256,0.1,0.01,0.0001,0.5,0.2,0.9054466287295023
GRACE,Photo,nonlinear-hid,2000,256,0.01,0.01,0.0001,0.5,0.2,0.9342047969500223
GRACE,Photo,nonlinear,2000,256,0.01,0.01,0.0001,0.5,0.2,0.9350762565930685
GRACE,Photo,linear,2000,256,0.01,0.01,0.0001,0.5,0.2,0.9276688496271769
GRACE,Photo,nonlinear-hid,2000,256,0.1,0.01,0.0001,0.5,0.3,0.7111111183961233
GRACE,Photo,nonlinear,2000,256,0.1,0.01,0.0001,0.5,0.3,0.900653600692749
GRACE,Photo,linear,2000,256,0.1,0.01,0.0001,0.5,0.3,0.900217870871226
GRACE,Photo,nonlinear-hid,2000,256,0.01,0.01,0.0001,0.5,0.3,0.9237472812334696
GRACE,Photo,nonlinear,2000,256,0.01,0.01,0.0001,0.5,0.3,0.9246187408765157
GRACE,Photo,linear,2000,256,0.01,0.01,0.0001,0.5,0.3,0.9233115514119467
GRACE,Photo,nonlinear-hid,2000,256,0.1,0.01,0.0001,0.5,0.4,0.7559912900129954
GRACE,Photo,nonlinear,2000,256,0.1,0.01,0.0001,0.5,0.4,0.9028322498003641
GRACE,Photo,linear,2000,256,0.1,0.01,0.0001,0.5,0.4,0.9076252778371176
GRACE,Photo,nonlinear-hid,2000,256,0.01,0.01,0.0001,0.5,0.4,0.9237472812334696
GRACE,Photo,nonlinear,2000,256,0.01,0.01,0.0001,0.5,0.4,0.9250544706980387
GRACE,Photo,linear,2000,256,0.01,0.01,0.0001,0.5,0.4,0.9254902005195618
GRACE,Photo,nonlinear-hid,2000,256,0.1,0.01,0.0001,0.5,0.5,0.9054466287295023
GRACE,Photo,nonlinear,2000,256,0.1,0.01,0.0001,0.5,0.5,0.900653600692749
GRACE,Photo,linear,2000,256,0.1,0.01,0.0001,0.5,0.5,0.8958605726559957
GRACE,Photo,nonlinear-hid,2000,256,0.01,0.01,0.0001,0.5,0.5,0.9220043619473776
GRACE,Photo,nonlinear,2000,256,0.01,0.01,0.0001,0.5,0.5,0.9259259303410848
GRACE,Photo,linear,2000,256,0.01,0.01,0.0001,0.5,0.5,0.9307189583778381
