model,dataset,projection,epochs,channels,lr1,lr2,wd1,wd2,edge_drop_rate,feat_mask_rate,val_acc
GRACE,Computers,nonlinear,1500,128,0.01,0.01,1e-05,0.0001,0.2,0.2,0.8751514752705892
GRACE,Computers,nonlinear,1500,128,0.001,0.01,0.0,0.0001,0.2,0.2,0.8705454270044962
GRACE,Computers,nonlinear,1500,128,0.001,0.01,1e-05,0.0001,0.2,0.2,0.8693333069483439
GRACE,Computers,nonlinear,1500,128,0.01,0.01,0.0,0.0001,0.2,0.3,0.8661817908287048
GRACE,Computers,nonlinear,1500,128,0.01,0.01,1e-05,0.0001,0.2,0.3,0.8564848303794861
GRACE,Computers,nonlinear,1500,128,0.001,0.01,0.0,0.0001,0.2,0.3,0.8703029950459799
GRACE,Computers,nonlinear,1500,128,0.001,0.01,1e-05,0.0001,0.2,0.3,0.865212102731069
GRACE,Computers,nonlinear,1500,128,0.01,0.01,0.0,0.0001,0.2,0.4,0.8361211816469828
GRACE,Computers,nonlinear,1500,128,0.01,0.01,1e-05,0.0001,0.2,0.4,0.8327272534370422
GRACE,Computers,nonlinear,1500,128,0.001,0.01,0.0,0.0001,0.2,0.4,0.8693333069483439
GRACE,Computers,nonlinear,1500,128,0.001,0.01,1e-05,0.0001,0.2,0.4,0.8686060309410095
GRACE,Computers,nonlinear,1500,128,0.01,0.01,0.0,0.0001,0.2,0.5,0.7953939239184061
GRACE,Computers,nonlinear,1500,128,0.01,0.01,1e-05,0.0001,0.2,0.5,0.823272705078125
GRACE,Computers,nonlinear,1500,128,0.001,0.01,0.0,0.0001,0.2,0.5,0.8545454343159994
GRACE,Computers,nonlinear,1500,128,0.001,0.01,1e-05,0.0001,0.2,0.5,0.8598787784576416
GRACE,Computers,nonlinear,1500,128,0.01,0.01,0.0,0.0001,0.3,0.0,0.8787878553072611
GRACE,Computers,nonlinear,1500,128,0.01,0.01,1e-05,0.0001,0.3,0.0,0.8860605955123901
GRACE,Computers,nonlinear,1500,128,0.001,0.01,0.0,0.0001,0.3,0.0,0.891636331876119
GRACE,Computers,nonlinear,1500,128,0.001,0.01,1e-05,0.0001,0.3,0.0,0.8870302637418112
GRACE,Computers,nonlinear,1500,128,0.01,0.01,0.0,0.0001,0.3,0.1,0.8753939072291056
GRACE,Computers,nonlinear,1500,128,0.01,0.01,1e-05,0.0001,0.3,0.1,0.8749090631802877
GRACE,Computers,nonlinear,1500,128,0.001,0.01,0.0,0.0001,0.3,0.1,0.8705454270044962
GRACE,Computers,nonlinear,1500,128,0.001,0.01,1e-05,0.0001,0.3,0.1,0.8758787711461385
GRACE,Computers,nonlinear,1500,128,0.01,0.01,0.0,0.0001,0.3,0.2,0.8799999952316284
GRACE,Computers,nonlinear,1500,128,0.01,0.01,1e-05,0.0001,0.3,0.2,0.8732120990753174
GRACE,Computers,nonlinear,1500,128,0.001,0.01,0.0,0.0001,0.3,0.2,0.8780605792999268
GRACE,Computers,nonlinear,1500,128,0.001,0.01,1e-05,0.0001,0.3,0.2,0.8797575434048971
GRACE,Computers,nonlinear,1500,128,0.01,0.01,0.0,0.0001,0.3,0.3,0.8637575507164001
GRACE,Computers,nonlinear,1500,128,0.01,0.01,1e-05,0.0001,0.3,0.3,0.861090878645579
GRACE,Computers,nonlinear,1500,128,0.001,0.01,0.0,0.0001,0.3,0.3,0.8710302710533142
GRACE,Computers,nonlinear,1500,128,0.001,0.01,1e-05,0.0001,0.3,0.3,0.8698181509971619
GRACE,Computers,nonlinear,1500,128,0.01,0.01,0.0,0.0001,0.3,0.4,0.8470303018887838
GRACE,Computers,nonlinear,1500,128,0.01,0.01,1e-05,0.0001,0.3,0.4,0.846060574054718
GRACE,Computers,nonlinear,1500,128,0.001,0.01,0.0,0.0001,0.3,0.4,0.8681211868921915
GRACE,Computers,nonlinear,1500,128,0.001,0.01,1e-05,0.0001,0.3,0.4,0.8727272351582845
GRACE,Computers,nonlinear,1500,128,0.01,0.01,0.0,0.0001,0.3,0.5,0.8155151208241781
GRACE,Computers,nonlinear,1500,128,0.01,0.01,1e-05,0.0001,0.3,0.5,0.8281211853027344
GRACE,Computers,nonlinear,1500,128,0.001,0.01,0.0,0.0001,0.3,0.5,0.8596363266309103
GRACE,Computers,nonlinear,1500,128,0.001,0.01,1e-05,0.0001,0.3,0.5,0.8591515024503072
GRACE,Computers,nonlinear,1500,128,0.01,0.01,0.0,0.0001,0.4,0.0,0.8846060236295065
GRACE,Computers,nonlinear,1500,128,0.01,0.01,1e-05,0.0001,0.4,0.0,0.8933333158493042
GRACE,Computers,nonlinear,1500,128,0.001,0.01,0.0,0.0001,0.4,0.0,0.890666643778483
GRACE,Computers,nonlinear,1500,128,0.001,0.01,1e-05,0.0001,0.4,0.0,0.8824242154757181
GRACE,Computers,nonlinear,1500,128,0.01,0.01,0.0,0.0001,0.4,0.1,0.890666663646698
GRACE,Computers,nonlinear,1500,128,0.01,0.01,1e-05,0.0001,0.4,0.1,0.8850908676783243
GRACE,Computers,nonlinear,1500,128,0.001,0.01,0.0,0.0001,0.4,0.1,0.8749090631802877
GRACE,Computers,nonlinear,1500,128,0.001,0.01,1e-05,0.0001,0.4,0.1,0.8787878553072611
GRACE,Computers,nonlinear,1500,128,0.01,0.01,0.0,0.0001,0.4,0.2,0.883393923441569
GRACE,Computers,nonlinear,1500,128,0.01,0.01,1e-05,0.0001,0.4,0.2,0.8836363554000854
GRACE,Computers,nonlinear,1500,128,0.001,0.01,0.0,0.0001,0.4,0.2,0.8807272513707479
GRACE,Computers,nonlinear,1500,128,0.001,0.01,1e-05,0.0001,0.4,0.2,0.8690908749898275
GRACE,Computers,nonlinear,1500,128,0.01,0.01,0.0,0.0001,0.4,0.3,0.8669090668360392
GRACE,Computers,nonlinear,1500,128,0.01,0.01,1e-05,0.0001,0.4,0.3,0.8703030149141947
GRACE,Computers,nonlinear,1500,128,0.001,0.01,0.0,0.0001,0.4,0.3,0.8712727228800455
GRACE,Computers,nonlinear,1500,128,0.001,0.01,1e-05,0.0001,0.4,0.3,0.8705454270044962
GRACE,Computers,nonlinear,1500,128,0.01,0.01,0.0,0.0001,0.4,0.4,0.864242414633433
GRACE,Computers,nonlinear,1500,128,0.01,0.01,1e-05,0.0001,0.4,0.4,0.8467878500620524
GRACE,Computers,nonlinear,1500,128,0.001,0.01,0.0,0.0001,0.4,0.4,0.8581817944844564
GRACE,Computers,nonlinear,1500,128,0.001,0.01,1e-05,0.0001,0.4,0.4,0.8703030149141947
GRACE,Computers,nonlinear,1500,128,0.01,0.01,0.0,0.0001,0.4,0.5,0.8370908896128336
GRACE,Computers,nonlinear,1500,128,0.01,0.01,1e-05,0.0001,0.4,0.5,0.8220605850219727
GRACE,Computers,nonlinear,1500,128,0.001,0.01,0.0,0.0001,0.4,0.5,0.8589090704917908
GRACE,Computers,nonlinear,1500,128,0.001,0.01,1e-05,0.0001,0.4,0.5,0.8547878464063009
GRACE,Computers,nonlinear,1500,128,0.01,0.01,0.0,0.0001,0.5,0.0,0.8899393677711487
GRACE,Computers,nonlinear,1500,128,0.01,0.01,1e-05,0.0001,0.5,0.0,0.8744242191314697
GRACE,Computers,nonlinear,1500,128,0.001,0.01,0.0,0.0001,0.5,0.0,0.8884848356246948
GRACE,Computers,nonlinear,1500,128,0.001,0.01,1e-05,0.0001,0.5,0.0,0.8962424000104269
GRACE,Computers,nonlinear,1500,128,0.01,0.01,0.0,0.0001,0.5,0.1,0.890666643778483
GRACE,Computers,nonlinear,1500,128,0.01,0.01,1e-05,0.0001,0.5,0.1,0.887999971707662
GRACE,Computers,nonlinear,1500,128,0.001,0.01,0.0,0.0001,0.5,0.1,0.8797575434048971
GRACE,Computers,nonlinear,1500,128,0.001,0.01,1e-05,0.0001,0.5,0.1,0.8717575470606486
GRACE,Computers,nonlinear,1500,128,0.01,0.01,0.0,0.0001,0.5,0.2,0.884363611539205
