model,dataset,projection,epochs,channels,lr1,lr2,wd1,wd2,edge_drop_rate,feat_mask_rate,val_acc
GRACE,Computers,standard,1500,128,0.01,0.01,1e-05,0.0001,0.2,0.3,0.883878767490387
GRACE,Computers,standard,1500,128,0.001,0.01,0.0,0.0001,0.2,0.3,0.8717575470606486
GRACE,Computers,standard,1500,128,0.001,0.01,1e-05,0.0001,0.2,0.3,0.8807272513707479
GRACE,Computers,standard,1500,128,0.01,0.01,0.0,0.0001,0.2,0.4,0.8884848157564799
GRACE,Computers,standard,1500,128,0.01,0.01,1e-05,0.0001,0.2,0.4,0.8867878715197245
GRACE,Computers,standard,1500,128,0.001,0.01,0.0,0.0001,0.2,0.4,0.8734545310338339
GRACE,Computers,standard,1500,128,0.001,0.01,1e-05,0.0001,0.2,0.4,0.8841211994489034
GRACE,Computers,standard,1500,128,0.01,0.01,0.0,0.0001,0.2,0.5,0.8809696634610494
GRACE,Computers,standard,1500,128,0.01,0.01,1e-05,0.0001,0.2,0.5,0.8778181473414103
GRACE,Computers,standard,1500,128,0.001,0.01,0.0,0.0001,0.2,0.5,0.864727258682251
GRACE,Computers,standard,1500,128,0.001,0.01,1e-05,0.0001,0.2,0.5,0.8649696707725525
GRACE,Computers,standard,1500,128,0.01,0.01,0.0,0.0001,0.3,0.0,0.8858181436856588
GRACE,Computers,standard,1500,128,0.01,0.01,1e-05,0.0001,0.3,0.0,0.8785454233487447
GRACE,Computers,standard,1500,128,0.001,0.01,0.0,0.0001,0.3,0.0,0.8787878751754761
GRACE,Computers,standard,1500,128,0.001,0.01,1e-05,0.0001,0.3,0.0,0.8901817798614502
GRACE,Computers,standard,1500,128,0.01,0.01,0.0,0.0001,0.3,0.1,0.8816969593365988
GRACE,Computers,standard,1500,128,0.01,0.01,1e-05,0.0001,0.3,0.1,0.8877575596173605
GRACE,Computers,standard,1500,128,0.001,0.01,0.0,0.0001,0.3,0.1,0.8899393876393636
GRACE,Computers,standard,1500,128,0.001,0.01,1e-05,0.0001,0.3,0.1,0.8741817871729533
GRACE,Computers,standard,1500,128,0.01,0.01,0.0,0.0001,0.3,0.2,0.8863030076026917
GRACE,Computers,standard,1500,128,0.01,0.01,1e-05,0.0001,0.3,0.2,0.8853333195050558
GRACE,Computers,standard,1500,128,0.001,0.01,0.0,0.0001,0.3,0.2,0.8816969593365988
GRACE,Computers,standard,1500,128,0.001,0.01,1e-05,0.0001,0.3,0.2,0.8921211957931519
GRACE,Computers,standard,1500,128,0.01,0.01,0.0,0.0001,0.3,0.3,0.8855757514635721
GRACE,Computers,standard,1500,128,0.01,0.01,1e-05,0.0001,0.3,0.3,0.883878747622172
GRACE,Computers,standard,1500,128,0.001,0.01,0.0,0.0001,0.3,0.3,0.8836363554000854
GRACE,Computers,standard,1500,128,0.001,0.01,1e-05,0.0001,0.3,0.3,0.8819393714269003
GRACE,Computers,standard,1500,128,0.01,0.01,0.0,0.0001,0.3,0.4,0.8877575596173605
GRACE,Computers,standard,1500,128,0.01,0.01,1e-05,0.0001,0.3,0.4,0.8853332996368408
GRACE,Computers,standard,1500,128,0.001,0.01,0.0,0.0001,0.3,0.4,0.8860605955123901
GRACE,Computers,standard,1500,128,0.001,0.01,1e-05,0.0001,0.3,0.4,0.872484823067983
GRACE,Computers,standard,1500,128,0.01,0.01,0.0,0.0001,0.3,0.5,0.8785454233487447
GRACE,Computers,standard,1500,128,0.01,0.01,1e-05,0.0001,0.3,0.5,0.8758787512779236
GRACE,Computers,standard,1500,128,0.001,0.01,0.0,0.0001,0.3,0.5,0.8673939108848572
GRACE,Computers,standard,1500,128,0.001,0.01,1e-05,0.0001,0.3,0.5,0.8746666510899862
GRACE,Computers,standard,1500,128,0.01,0.01,0.0,0.0001,0.4,0.0,0.8867878516515096
GRACE,Computers,standard,1500,128,0.01,0.01,1e-05,0.0001,0.4,0.0,0.8872727155685425
GRACE,Computers,standard,1500,128,0.001,0.01,0.0,0.0001,0.4,0.0,0.883878767490387
GRACE,Computers,standard,1500,128,0.001,0.01,1e-05,0.0001,0.4,0.0,0.883393923441569
