model,dataset,projection,epochs,channels,lr1,lr2,wd2,edge_drop_rate,feat_mask_rate,mlp_use,val_acc
GRACE,CS,linear,1000,256,0.0005,0.01,0.0001,0.1,0.2,True,0.937443196773529
GRACE,CS,linear,1000,256,0.0005,0.01,0.0001,0.1,0.2,False,0.9252591729164124
GRACE,CS,nonlinear-hid,1000,256,0.0005,0.01,0.0001,0.1,0.3,True,0.9387161533037821
GRACE,CS,nonlinear-hid,1000,256,0.0005,0.01,0.0001,0.1,0.3,False,0.9352609713872274
GRACE,CS,nonlinear,1000,256,0.0005,0.01,0.0001,0.1,0.3,True,0.9418076276779175
GRACE,CS,nonlinear,1000,256,0.0005,0.01,0.0001,0.1,0.3,False,0.922895093758901
GRACE,CS,linear,1000,256,0.0005,0.01,0.0001,0.1,0.3,True,0.9436261256535848
GRACE,CS,linear,1000,256,0.0005,0.01,0.0001,0.1,0.3,False,0.9303509791692098
GRACE,CS,nonlinear-hid,1000,256,0.0005,0.01,0.0001,0.1,0.4,True,0.9316239555676779
GRACE,CS,nonlinear-hid,1000,256,0.0005,0.01,0.0001,0.1,0.4,False,0.928896168867747
GRACE,CS,nonlinear,1000,256,0.0005,0.01,0.0001,0.1,0.4,True,0.9398072560628256
GRACE,CS,nonlinear,1000,256,0.0005,0.01,0.0001,0.1,0.4,False,0.9272595246632894
GRACE,CS,linear,1000,256,0.0005,0.01,0.0001,0.1,0.4,True,0.937443196773529
GRACE,CS,linear,1000,256,0.0005,0.01,0.0001,0.1,0.4,False,0.9165302912394205
GRACE,CS,nonlinear-hid,1000,256,0.0005,0.01,0.0001,0.1,0.5,True,0.940170963605245
GRACE,CS,nonlinear-hid,1000,256,0.0005,0.01,0.0001,0.1,0.5,False,0.9230769276618958
GRACE,CS,nonlinear,1000,256,0.0005,0.01,0.0001,0.1,0.5,True,0.9385342995325724
GRACE,CS,nonlinear,1000,256,0.0005,0.01,0.0001,0.1,0.5,False,0.9276232123374939
GRACE,CS,linear,1000,256,0.0005,0.01,0.0001,0.1,0.5,True,0.9403528173764547
GRACE,CS,linear,1000,256,0.0005,0.01,0.0001,0.1,0.5,False,0.9345335761706034
GRACE,CS,nonlinear-hid,1000,256,0.0005,0.01,0.0001,0.2,0.0,True,0.8292416930198669
GRACE,CS,nonlinear-hid,1000,256,0.0005,0.01,0.0001,0.2,0.0,False,0.9198036392529806
GRACE,CS,nonlinear,1000,256,0.0005,0.01,0.0001,0.2,0.0,True,0.8236043254534403
GRACE,CS,nonlinear,1000,256,0.0005,0.01,0.0001,0.2,0.0,False,0.9190762042999268
GRACE,CS,linear,1000,256,0.0005,0.01,0.0001,0.2,0.0,True,0.831787625948588
GRACE,CS,linear,1000,256,0.0005,0.01,0.0001,0.2,0.0,False,0.9187125166257223
GRACE,CS,nonlinear-hid,1000,256,0.0005,0.01,0.0001,0.2,0.1,True,0.9405346512794495
GRACE,CS,nonlinear-hid,1000,256,0.0005,0.01,0.0001,0.2,0.1,False,0.9256228605906168
GRACE,CS,nonlinear,1000,256,0.0005,0.01,0.0001,0.2,0.1,True,0.932169497013092
GRACE,CS,nonlinear,1000,256,0.0005,0.01,0.0001,0.2,0.1,False,0.9223495324452718
GRACE,CS,linear,1000,256,0.0005,0.01,0.0001,0.2,0.1,True,0.9339880148569742
GRACE,CS,linear,1000,256,0.0005,0.01,0.0001,0.2,0.1,False,0.9252591729164124
GRACE,CS,nonlinear-hid,1000,256,0.0005,0.01,0.0001,0.2,0.2,True,0.9418076078097025
GRACE,CS,nonlinear-hid,1000,256,0.0005,0.01,0.0001,0.2,0.2,False,0.9214402834574381
GRACE,CS,nonlinear,1000,256,0.0005,0.01,0.0001,0.2,0.2,True,0.940170963605245
GRACE,CS,nonlinear,1000,256,0.0005,0.01,0.0001,0.2,0.2,False,0.9190762241681417
GRACE,CS,linear,1000,256,0.0005,0.01,0.0001,0.2,0.2,True,0.9328969120979309
GRACE,CS,linear,1000,256,0.0005,0.01,0.0001,0.2,0.2,False,0.9225314060846964
GRACE,CS,nonlinear-hid,1000,256,0.0005,0.01,0.0001,0.2,0.3,True,0.9367157816886902
GRACE,CS,nonlinear-hid,1000,256,0.0005,0.01,0.0001,0.2,0.3,False,0.9263502558072408
GRACE,CS,nonlinear,1000,256,0.0005,0.01,0.0001,0.2,0.3,True,0.9379887580871582
GRACE,CS,nonlinear,1000,256,0.0005,0.01,0.0001,0.2,0.3,False,0.9270776708920797
GRACE,CS,linear,1000,256,0.0005,0.01,0.0001,0.2,0.3,True,0.9358065128326416
GRACE,CS,linear,1000,256,0.0005,0.01,0.0001,0.2,0.3,False,0.9270776708920797
GRACE,CS,nonlinear-hid,1000,256,0.0005,0.01,0.0001,0.2,0.4,True,0.9405346711476644
GRACE,CS,nonlinear-hid,1000,256,0.0005,0.01,0.0001,0.2,0.4,False,0.9256228605906168
GRACE,CS,nonlinear,1000,256,0.0005,0.01,0.0001,0.2,0.4,True,0.9408983588218689
GRACE,CS,nonlinear,1000,256,0.0005,0.01,0.0001,0.2,0.4,False,0.9272595246632894
GRACE,CS,linear,1000,256,0.0005,0.01,0.0001,0.2,0.4,True,0.9392616947491964
GRACE,CS,linear,1000,256,0.0005,0.01,0.0001,0.2,0.4,False,0.9219858249028524
GRACE,CS,nonlinear-hid,1000,256,0.0005,0.01,0.0001,0.2,0.5,True,0.936170220375061
GRACE,CS,nonlinear-hid,1000,256,0.0005,0.01,0.0001,0.2,0.5,False,0.9214402834574381
GRACE,CS,nonlinear,1000,256,0.0005,0.01,0.0001,0.2,0.5,True,0.9394435485204061
GRACE,CS,nonlinear,1000,256,0.0005,0.01,0.0001,0.2,0.5,False,0.9254410068194071
GRACE,CS,linear,1000,256,0.0005,0.01,0.0001,0.2,0.5,True,0.9332606196403503
GRACE,CS,linear,1000,256,0.0005,0.01,0.0001,0.2,0.5,False,0.9290780226389567
GRACE,CS,nonlinear-hid,1000,256,0.0005,0.01,0.0001,0.3,0.0,True,0.822513202826182
GRACE,CS,nonlinear-hid,1000,256,0.0005,0.01,0.0001,0.3,0.0,False,0.9147117932637533
GRACE,CS,nonlinear,1000,256,0.0005,0.01,0.0001,0.3,0.0,True,0.825240949789683
GRACE,CS,nonlinear,1000,256,0.0005,0.01,0.0001,0.3,0.0,False,0.9123477141062418
GRACE,CS,linear,1000,256,0.0005,0.01,0.0001,0.3,0.0,True,0.8292416930198669
GRACE,CS,linear,1000,256,0.0005,0.01,0.0001,0.3,0.0,False,0.9143480857213339
GRACE,CS,nonlinear-hid,1000,256,0.0005,0.01,0.0001,0.3,0.1,True,0.9350791176160177
GRACE,CS,nonlinear-hid,1000,256,0.0005,0.01,0.0001,0.3,0.1,False,0.9143480658531189
GRACE,CS,nonlinear,1000,256,0.0005,0.01,0.0001,0.3,0.1,True,0.932169497013092
GRACE,CS,nonlinear,1000,256,0.0005,0.01,0.0001,0.3,0.1,False,0.9159847497940063
