model,dataset,projection,epochs,channels,lr1,lr2,wd2,edge_drop_rate,feat_mask_rate,val_acc
GRACE,Cora,nonlinear,200,256,0.001,0.01,0.0001,0.1,0.2,0.7990000426769257
GRACE,Cora,nonlinear,400,256,0.001,0.01,0.0001,0.1,0.2,0.8036000311374665
GRACE,Cora,linear,100,256,0.001,0.01,0.0001,0.1,0.2,0.7922000348567962
GRACE,Cora,linear,200,256,0.001,0.01,0.0001,0.1,0.2,0.8044000446796418
GRACE,Cora,linear,400,256,0.001,0.01,0.0001,0.1,0.2,0.8036000430583954
GRACE,Cora,standard,100,256,0.001,0.01,0.0001,0.1,0.2,0.8076000392436982
GRACE,Cora,standard,200,256,0.001,0.01,0.0001,0.1,0.2,0.7862000346183777
GRACE,Cora,standard,400,256,0.001,0.01,0.0001,0.1,0.2,0.7502000331878662
GRACE,Cora,nonlinear-hid,100,256,0.0005,0.01,0.0001,0.1,0.2,0.7794000327587127
GRACE,Cora,nonlinear-hid,200,256,0.0005,0.01,0.0001,0.1,0.2,0.7880000412464142
GRACE,Cora,nonlinear-hid,400,256,0.0005,0.01,0.0001,0.1,0.2,0.8036000490188598
GRACE,Cora,nonlinear,100,256,0.0005,0.01,0.0001,0.1,0.2,0.784600031375885
GRACE,Cora,nonlinear,200,256,0.0005,0.01,0.0001,0.1,0.2,0.8000000417232513
GRACE,Cora,nonlinear,400,256,0.0005,0.01,0.0001,0.1,0.2,0.7976000428199768
GRACE,Cora,linear,100,256,0.0005,0.01,0.0001,0.1,0.2,0.7776000261306762
GRACE,Cora,linear,200,256,0.0005,0.01,0.0001,0.1,0.2,0.7970000326633453
GRACE,Cora,linear,400,256,0.0005,0.01,0.0001,0.1,0.2,0.804600042104721
GRACE,Cora,standard,100,256,0.0005,0.01,0.0001,0.1,0.2,0.8000000298023224
GRACE,Cora,standard,200,256,0.0005,0.01,0.0001,0.1,0.2,0.8032000482082366
GRACE,Cora,standard,400,256,0.0005,0.01,0.0001,0.1,0.2,0.7850000381469726
GRACE,Cora,nonlinear-hid,100,256,0.0005,0.01,0.0001,0.1,0.2,0.7776000261306762
GRACE,Cora,nonlinear-hid,200,256,0.0005,0.01,0.0001,0.1,0.2,0.790000033378601
GRACE,Cora,nonlinear-hid,400,256,0.0005,0.01,0.0001,0.1,0.2,0.7976000368595123
GRACE,Cora,nonlinear,100,256,0.0005,0.01,0.0001,0.1,0.2,0.7850000441074372
GRACE,Cora,nonlinear,200,256,0.0005,0.01,0.0001,0.1,0.2,0.7976000428199768
GRACE,Cora,nonlinear,400,256,0.0005,0.01,0.0001,0.1,0.2,0.8112000346183776
GRACE,Cora,linear,100,256,0.0005,0.01,0.0001,0.1,0.2,0.7812000453472138
GRACE,Cora,linear,200,256,0.0005,0.01,0.0001,0.1,0.2,0.8026000320911407
GRACE,Cora,linear,400,256,0.0005,0.01,0.0001,0.1,0.2,0.8100000441074371
GRACE,Cora,standard,100,256,0.0005,0.01,0.0001,0.1,0.2,0.7994000434875488
GRACE,Cora,standard,200,256,0.0005,0.01,0.0001,0.1,0.2,0.7978000462055206
GRACE,Cora,standard,400,256,0.0005,0.01,0.0001,0.1,0.2,0.7918000280857086
GRACE,Cora,nonlinear-hid,100,256,0.001,0.01,0.0001,0.1,0.3,0.7686000406742096
GRACE,Cora,nonlinear-hid,200,256,0.001,0.01,0.0001,0.1,0.3,0.784600031375885
GRACE,Cora,nonlinear-hid,400,256,0.001,0.01,0.0001,0.1,0.3,0.7982000410556793
GRACE,Cora,nonlinear,100,256,0.001,0.01,0.0001,0.1,0.3,0.7858000338077545
GRACE,Cora,nonlinear,200,256,0.001,0.01,0.0001,0.1,0.3,0.8008000373840332
GRACE,Cora,nonlinear,400,256,0.001,0.01,0.0001,0.1,0.3,0.8080000400543212
GRACE,Cora,linear,100,256,0.001,0.01,0.0001,0.1,0.3,0.7848000347614288
GRACE,Cora,linear,200,256,0.001,0.01,0.0001,0.1,0.3,0.8012000441551208
GRACE,Cora,linear,400,256,0.001,0.01,0.0001,0.1,0.3,0.8094000399112702
GRACE,Cora,standard,100,256,0.001,0.01,0.0001,0.1,0.3,0.8162000417709351
GRACE,Cora,standard,200,256,0.001,0.01,0.0001,0.1,0.3,0.7988000333309173
GRACE,Cora,standard,400,256,0.001,0.01,0.0001,0.1,0.3,0.7678000390529632
GRACE,Cora,nonlinear-hid,100,256,0.001,0.01,0.0001,0.1,0.3,0.7580000340938569
GRACE,Cora,nonlinear-hid,200,256,0.001,0.01,0.0001,0.1,0.3,0.7806000411510468
GRACE,Cora,nonlinear-hid,400,256,0.001,0.01,0.0001,0.1,0.3,0.789600032567978
GRACE,Cora,nonlinear,100,256,0.001,0.01,0.0001,0.1,0.3,0.7832000315189361
GRACE,Cora,nonlinear,200,256,0.001,0.01,0.0001,0.1,0.3,0.8018000304698945
GRACE,Cora,nonlinear,400,256,0.001,0.01,0.0001,0.1,0.3,0.8072000324726105
GRACE,Cora,linear,100,256,0.001,0.01,0.0001,0.1,0.3,0.7882000386714936
GRACE,Cora,linear,200,256,0.001,0.01,0.0001,0.1,0.3,0.804200041294098
GRACE,Cora,linear,400,256,0.001,0.01,0.0001,0.1,0.3,0.8128000378608704
GRACE,Cora,standard,100,256,0.001,0.01,0.0001,0.1,0.3,0.809000039100647
GRACE,Cora,standard,200,256,0.001,0.01,0.0001,0.1,0.3,0.8018000423908234
GRACE,Cora,standard,400,256,0.001,0.01,0.0001,0.1,0.3,0.7714000344276428
GRACE,Cora,nonlinear-hid,100,256,0.0005,0.01,0.0001,0.1,0.3,0.7696000397205353
GRACE,Cora,nonlinear-hid,200,256,0.0005,0.01,0.0001,0.1,0.3,0.7848000407218934
GRACE,Cora,nonlinear-hid,400,256,0.0005,0.01,0.0001,0.1,0.3,0.8038000404834748
GRACE,Cora,nonlinear,100,256,0.0005,0.01,0.0001,0.1,0.3,0.7770000398159027
GRACE,Cora,nonlinear,200,256,0.0005,0.01,0.0001,0.1,0.3,0.8050000369548798
GRACE,Cora,nonlinear,400,256,0.0005,0.01,0.0001,0.1,0.3,0.8086000382900238
GRACE,Cora,linear,100,256,0.0005,0.01,0.0001,0.1,0.3,0.7780000329017639
GRACE,Cora,linear,200,256,0.0005,0.01,0.0001,0.1,0.3,0.7934000372886658
GRACE,Cora,linear,400,256,0.0005,0.01,0.0001,0.1,0.3,0.812000036239624
GRACE,Cora,standard,100,256,0.0005,0.01,0.0001,0.1,0.3,0.8036000311374665
GRACE,Cora,standard,200,256,0.0005,0.01,0.0001,0.1,0.3,0.809600043296814
GRACE,Cora,standard,400,256,0.0005,0.01,0.0001,0.1,0.3,0.8008000373840332
GRACE,Cora,nonlinear-hid,100,256,0.0005,0.01,0.0001,0.1,0.3,0.7648000299930573
GRACE,Cora,nonlinear-hid,200,256,0.0005,0.01,0.0001,0.1,0.3,0.7808000385761261
GRACE,Cora,nonlinear-hid,400,256,0.0005,0.01,0.0001,0.1,0.3,0.8006000399589539
GRACE,Cora,nonlinear,100,256,0.0005,0.01,0.0001,0.1,0.3,0.7760000348091125
GRACE,Cora,nonlinear,200,256,0.0005,0.01,0.0001,0.1,0.3,0.7950000405311585
GRACE,Cora,nonlinear,400,256,0.0005,0.01,0.0001,0.1,0.3,0.8088000476360321
GRACE,Cora,linear,100,256,0.0005,0.01,0.0001,0.1,0.3,0.7774000406265259
GRACE,Cora,linear,200,256,0.0005,0.01,0.0001,0.1,0.3,0.7916000485420227
GRACE,Cora,linear,400,256,0.0005,0.01,0.0001,0.1,0.3,0.8088000416755676
GRACE,Cora,standard,100,256,0.0005,0.01,0.0001,0.1,0.3,0.8030000388622284
GRACE,Cora,standard,200,256,0.0005,0.01,0.0001,0.1,0.3,0.8128000319004058
GRACE,Cora,standard,400,256,0.0005,0.01,0.0001,0.1,0.3,0.8042000293731689
GRACE,Cora,nonlinear-hid,100,256,0.001,0.01,0.0001,0.1,0.4,0.7536000490188599
GRACE,Cora,nonlinear-hid,200,256,0.001,0.01,0.0001,0.1,0.4,0.7692000329494476
GRACE,Cora,nonlinear-hid,400,256,0.001,0.01,0.0001,0.1,0.4,0.7924000382423401
GRACE,Cora,nonlinear,100,256,0.001,0.01,0.0001,0.1,0.4,0.7750000357627869
GRACE,Cora,nonlinear,200,256,0.001,0.01,0.0001,0.1,0.4,0.7944000422954559
GRACE,Cora,nonlinear,400,256,0.001,0.01,0.0001,0.1,0.4,0.8064000368118286
GRACE,Cora,linear,100,256,0.001,0.01,0.0001,0.1,0.4,0.7806000351905823
GRACE,Cora,linear,200,256,0.001,0.01,0.0001,0.1,0.4,0.80600004196167
GRACE,Cora,linear,400,256,0.001,0.01,0.0001,0.1,0.4,0.8098000407218933
GRACE,Cora,standard,100,256,0.001,0.01,0.0001,0.1,0.4,0.8092000365257264
GRACE,Cora,standard,200,256,0.001,0.01,0.0001,0.1,0.4,0.8062000334262848
GRACE,Cora,standard,400,256,0.001,0.01,0.0001,0.1,0.4,0.7960000216960907
GRACE,Cora,nonlinear-hid,100,256,0.001,0.01,0.0001,0.1,0.4,0.759600031375885
GRACE,Cora,nonlinear-hid,200,256,0.001,0.01,0.0001,0.1,0.4,0.7618000388145447
GRACE,Cora,nonlinear-hid,400,256,0.001,0.01,0.0001,0.1,0.4,0.7806000351905823
GRACE,Cora,nonlinear,100,256,0.001,0.01,0.0001,0.1,0.4,0.7774000406265259
GRACE,Cora,nonlinear,200,256,0.001,0.01,0.0001,0.1,0.4,0.7976000368595123
GRACE,Cora,nonlinear,400,256,0.001,0.01,0.0001,0.1,0.4,0.8084000408649444
GRACE,Cora,linear,100,256,0.001,0.01,0.0001,0.1,0.4,0.7740000426769257
GRACE,Cora,linear,200,256,0.001,0.01,0.0001,0.1,0.4,0.7976000428199768
GRACE,Cora,linear,400,256,0.001,0.01,0.0001,0.1,0.4,0.8086000382900238
GRACE,Cora,standard,100,256,0.001,0.01,0.0001,0.1,0.4,0.8068000435829162
GRACE,Cora,standard,200,256,0.001,0.01,0.0001,0.1,0.4,0.811400032043457
GRACE,Cora,standard,400,256,0.001,0.01,0.0001,0.1,0.4,0.7944000363349915
GRACE,Cora,nonlinear-hid,100,256,0.0005,0.01,0.0001,0.1,0.4,0.7620000243186951
GRACE,Cora,nonlinear-hid,200,256,0.0005,0.01,0.0001,0.1,0.4,0.7830000340938568
GRACE,Cora,nonlinear-hid,400,256,0.0005,0.01,0.0001,0.1,0.4,0.7854000389575958
GRACE,Cora,nonlinear,100,256,0.0005,0.01,0.0001,0.1,0.4,0.7646000385284424
GRACE,Cora,nonlinear,200,256,0.0005,0.01,0.0001,0.1,0.4,0.7890000402927398
GRACE,Cora,nonlinear,400,256,0.0005,0.01,0.0001,0.1,0.4,0.8006000280380249
GRACE,Cora,linear,100,256,0.0005,0.01,0.0001,0.1,0.4,0.7804000377655029
GRACE,Cora,linear,200,256,0.0005,0.01,0.0001,0.1,0.4,0.7932000279426574
GRACE,Cora,linear,400,256,0.0005,0.01,0.0001,0.1,0.4,0.8066000401973724
GRACE,Cora,standard,100,256,0.0005,0.01,0.0001,0.1,0.4,0.7996000349521637
GRACE,Cora,standard,200,256,0.0005,0.01,0.0001,0.1,0.4,0.8182000458240509
GRACE,Cora,standard,400,256,0.0005,0.01,0.0001,0.1,0.4,0.8088000357151032
GRACE,Cora,nonlinear-hid,100,256,0.0005,0.01,0.0001,0.1,0.4,0.7518000364303589
GRACE,Cora,nonlinear-hid,200,256,0.0005,0.01,0.0001,0.1,0.4,0.7722000420093537
