model,dataset,epochs,layers,tau,lr1,wd1,lr2,wd2,channels,edge_drop_rate,feat_mask_rate,mlp_use,val_acc
SelfGCon,Cora,20,1,0.1,0.001,0.0,0.01,0.01,128,0.1,0.0,False,0.3276752829551697
SelfGCon,Cora,50,1,0.1,0.001,0.0,0.01,0.01,128,0.1,0.0,False,0.3239852488040924
SelfGCon,Cora,20,1,0.1,0.001,0.0,0.01,0.0001,128,0.1,0.0,False,0.4317343235015869
SelfGCon,Cora,50,1,0.1,0.001,0.0,0.01,0.0001,128,0.1,0.0,False,0.41180811524391175
SelfGCon,Cora,20,1,0.1,0.001,0.0,0.005,0.01,128,0.1,0.0,False,0.3276752829551697
SelfGCon,Cora,50,1,0.1,0.001,0.0,0.005,0.01,128,0.1,0.0,False,0.33136531710624695
SelfGCon,Cora,20,1,0.1,0.001,0.0,0.005,0.0001,128,0.1,0.0,False,0.42214022278785707
SelfGCon,Cora,50,1,0.1,0.001,0.0,0.005,0.0001,128,0.1,0.0,False,0.41402214765548706
SelfGCon,Cora,20,1,0.1,0.001,0.0,0.01,0.01,128,0.1,0.1,False,0.45387454628944396
SelfGCon,Cora,50,1,0.1,0.001,0.0,0.01,0.01,128,0.1,0.1,False,0.46789669394493105
SelfGCon,Cora,20,1,0.1,0.001,0.0,0.01,0.0001,128,0.1,0.1,False,0.6191882014274597
SelfGCon,Cora,50,1,0.1,0.001,0.0,0.01,0.0001,128,0.1,0.1,False,0.645018470287323
SelfGCon,Cora,20,1,0.1,0.001,0.0,0.005,0.01,128,0.1,0.1,False,0.49520295262336733
SelfGCon,Cora,50,1,0.1,0.001,0.0,0.005,0.01,128,0.1,0.1,False,0.4656826615333557
SelfGCon,Cora,20,1,0.1,0.001,0.0,0.005,0.0001,128,0.1,0.1,False,0.6361623764038086
SelfGCon,Cora,50,1,0.1,0.001,0.0,0.005,0.0001,128,0.1,0.1,False,0.5948339462280273
SelfGCon,Cora,20,1,0.1,0.001,0.0,0.01,0.01,128,0.1,0.2,False,0.5948339700698853
SelfGCon,Cora,50,1,0.1,0.001,0.0,0.01,0.01,128,0.1,0.2,False,0.6095941066741943
SelfGCon,Cora,20,1,0.1,0.001,0.0,0.01,0.0001,128,0.1,0.2,False,0.7476014852523803
SelfGCon,Cora,50,1,0.1,0.001,0.0,0.01,0.0001,128,0.1,0.2,False,0.7173431754112244
SelfGCon,Cora,20,1,0.1,0.001,0.0,0.005,0.01,128,0.1,0.2,False,0.6036900401115417
SelfGCon,Cora,50,1,0.1,0.001,0.0,0.005,0.01,128,0.1,0.2,False,0.6420664310455322
SelfGCon,Cora,20,1,0.1,0.001,0.0,0.005,0.0001,128,0.1,0.2,False,0.7306273221969605
SelfGCon,Cora,50,1,0.1,0.001,0.0,0.005,0.0001,128,0.1,0.2,False,0.7402214050292969
SelfGCon,Cora,20,1,0.1,0.001,0.0,0.01,0.01,128,0.1,0.3,False,0.7173431754112244
SelfGCon,Cora,50,1,0.1,0.001,0.0,0.01,0.01,128,0.1,0.3,False,0.707749092578888
SelfGCon,Cora,20,1,0.1,0.001,0.0,0.01,0.0001,128,0.1,0.3,False,0.7697417140007019
SelfGCon,Cora,50,1,0.1,0.001,0.0,0.01,0.0001,128,0.1,0.3,False,0.7660516738891602
SelfGCon,Cora,20,1,0.1,0.001,0.0,0.005,0.01,128,0.1,0.3,False,0.6701107025146484
SelfGCon,Cora,50,1,0.1,0.001,0.0,0.005,0.01,128,0.1,0.3,False,0.7166051626205444
SelfGCon,Cora,20,1,0.1,0.001,0.0,0.005,0.0001,128,0.1,0.3,False,0.7608856201171875
SelfGCon,Cora,50,1,0.1,0.001,0.0,0.005,0.0001,128,0.1,0.3,False,0.7549815654754639
SelfGCon,Cora,20,1,0.1,0.001,0.0,0.01,0.01,128,0.1,0.4,False,0.6760147690773011
SelfGCon,Cora,50,1,0.1,0.001,0.0,0.01,0.01,128,0.1,0.4,False,0.7498154997825622
SelfGCon,Cora,20,1,0.1,0.001,0.0,0.01,0.0001,128,0.1,0.4,False,0.7771217823028564
SelfGCon,Cora,50,1,0.1,0.001,0.0,0.01,0.0001,128,0.1,0.4,False,0.7963099718093872
SelfGCon,Cora,20,1,0.1,0.001,0.0,0.005,0.01,128,0.1,0.4,False,0.7298892974853516
SelfGCon,Cora,50,1,0.1,0.001,0.0,0.005,0.01,128,0.1,0.4,False,0.7763837814331055
SelfGCon,Cora,20,1,0.1,0.001,0.0,0.005,0.0001,128,0.1,0.4,False,0.7690037012100219
SelfGCon,Cora,50,1,0.1,0.001,0.0,0.005,0.0001,128,0.1,0.4,False,0.7859778642654419
SelfGCon,Cora,20,1,0.1,0.001,0.0,0.01,0.01,128,0.1,0.5,False,0.7453874588012696
SelfGCon,Cora,50,1,0.1,0.001,0.0,0.01,0.01,128,0.1,0.5,False,0.7771217823028564
SelfGCon,Cora,20,1,0.1,0.001,0.0,0.01,0.0001,128,0.1,0.5,False,0.7594096064567566
SelfGCon,Cora,50,1,0.1,0.001,0.0,0.01,0.0001,128,0.1,0.5,False,0.8140221476554871
SelfGCon,Cora,20,1,0.1,0.001,0.0,0.005,0.01,128,0.1,0.5,False,0.738745391368866
SelfGCon,Cora,50,1,0.1,0.001,0.0,0.005,0.01,128,0.1,0.5,False,0.7571955800056458
SelfGCon,Cora,20,1,0.1,0.001,0.0,0.005,0.0001,128,0.1,0.5,False,0.7771217823028564
SelfGCon,Cora,50,1,0.1,0.001,0.0,0.005,0.0001,128,0.1,0.5,False,0.7926199316978455
SelfGCon,Cora,20,1,0.1,0.001,0.0,0.01,0.01,128,0.2,0.0,False,0.40664207339286806
SelfGCon,Cora,50,1,0.1,0.001,0.0,0.01,0.01,128,0.2,0.0,False,0.3645756483078003
SelfGCon,Cora,20,1,0.1,0.001,0.0,0.01,0.0001,128,0.2,0.0,False,0.5690036892890931
SelfGCon,Cora,50,1,0.1,0.001,0.0,0.01,0.0001,128,0.2,0.0,False,0.5313653111457824
SelfGCon,Cora,20,1,0.1,0.001,0.0,0.005,0.01,128,0.2,0.0,False,0.38819188475608823
SelfGCon,Cora,50,1,0.1,0.001,0.0,0.005,0.01,128,0.2,0.0,False,0.3697417080402374
SelfGCon,Cora,20,1,0.1,0.001,0.0,0.005,0.0001,128,0.2,0.0,False,0.5734317421913147
SelfGCon,Cora,50,1,0.1,0.001,0.0,0.005,0.0001,128,0.2,0.0,False,0.5114391148090363
SelfGCon,Cora,20,1,0.1,0.001,0.0,0.01,0.01,128,0.2,0.1,False,0.5749077677726746
SelfGCon,Cora,50,1,0.1,0.001,0.0,0.01,0.01,128,0.2,0.1,False,0.553505539894104
SelfGCon,Cora,20,1,0.1,0.001,0.0,0.01,0.0001,128,0.2,0.1,False,0.6988929986953736
SelfGCon,Cora,50,1,0.1,0.001,0.0,0.01,0.0001,128,0.2,0.1,False,0.676752769947052
SelfGCon,Cora,20,1,0.1,0.001,0.0,0.005,0.01,128,0.2,0.1,False,0.5424354255199433
SelfGCon,Cora,50,1,0.1,0.001,0.0,0.005,0.01,128,0.2,0.1,False,0.5645756602287293
SelfGCon,Cora,20,1,0.1,0.001,0.0,0.005,0.0001,128,0.2,0.1,False,0.6826568365097045
SelfGCon,Cora,50,1,0.1,0.001,0.0,0.005,0.0001,128,0.2,0.1,False,0.6841328501701355
SelfGCon,Cora,20,1,0.1,0.001,0.0,0.01,0.01,128,0.2,0.2,False,0.6619926333427429
SelfGCon,Cora,50,1,0.1,0.001,0.0,0.01,0.01,128,0.2,0.2,False,0.6907749056816102
SelfGCon,Cora,20,1,0.1,0.001,0.0,0.01,0.0001,128,0.2,0.2,False,0.7579335927963257
SelfGCon,Cora,50,1,0.1,0.001,0.0,0.01,0.0001,128,0.2,0.2,False,0.7357933640480041
SelfGCon,Cora,20,1,0.1,0.001,0.0,0.005,0.01,128,0.2,0.2,False,0.6760147690773011
SelfGCon,Cora,50,1,0.1,0.001,0.0,0.005,0.01,128,0.2,0.2,False,0.660516619682312
SelfGCon,Cora,20,1,0.1,0.001,0.0,0.005,0.0001,128,0.2,0.2,False,0.7542435526847839
SelfGCon,Cora,50,1,0.1,0.001,0.0,0.005,0.0001,128,0.2,0.2,False,0.7512915134429932
SelfGCon,Cora,20,1,0.1,0.001,0.0,0.01,0.01,128,0.2,0.3,False,0.721033227443695
SelfGCon,Cora,50,1,0.1,0.001,0.0,0.01,0.01,128,0.2,0.3,False,0.7402214050292969
SelfGCon,Cora,20,1,0.1,0.001,0.0,0.01,0.0001,128,0.2,0.3,False,0.7557195663452149
SelfGCon,Cora,50,1,0.1,0.001,0.0,0.01,0.0001,128,0.2,0.3,False,0.7889298796653748
SelfGCon,Cora,20,1,0.1,0.001,0.0,0.005,0.01,128,0.2,0.3,False,0.7202952146530152
SelfGCon,Cora,50,1,0.1,0.001,0.0,0.005,0.01,128,0.2,0.3,False,0.7195571899414063
SelfGCon,Cora,20,1,0.1,0.001,0.0,0.005,0.0001,128,0.2,0.3,False,0.7763837695121765
SelfGCon,Cora,50,1,0.1,0.001,0.0,0.005,0.0001,128,0.2,0.3,False,0.7830258250236511
SelfGCon,Cora,20,1,0.1,0.001,0.0,0.01,0.01,128,0.2,0.4,False,0.7092251062393189
