model,dataset,lr,hid_dim,epoch,edr1,fmr1,edr2,fmr2,accuracy
BGRL,Photo,0.0001,512,10000,0.4,0.1,0.1,0.2,0.925000011920929
BGRL,Photo,0.0001,512,10000,0.4,0.1,0.1,0.2,0.9214052557945251
BGRL,Photo,0.0001,512,10000,0.4,0.1,0.1,0.2,0.9290850162506104
BGRL,Photo,0.0001,512,10000,0.4,0.1,0.1,0.2,0.9264706373214722
BGRL,Photo,0.0001,512,10000,0.4,0.1,0.1,0.2,0.9235294461250305
BGRL,Photo,0.0001,512,10000,0.4,0.1,0.1,0.2,0.9279412031173706
BGRL,Photo,0.0001,512,10000,0.4,0.1,0.1,0.2,0.9254902005195618
BGRL,Photo,0.0001,512,10000,0.4,0.1,0.1,0.2,0.9318627715110779
BGRL,Photo,0.0001,512,10000,0.4,0.1,0.1,0.2,0.9287582039833069
BGRL,Photo,0.0001,512,10000,0.4,0.1,0.1,0.2,0.9266340136528015
BGRL,Photo,0.0001,512,10000,0.4,0.1,0.1,0.2,0.9281045794487
BGRL,Photo,0.0001,512,10000,0.4,0.1,0.1,0.2,0.9228758215904236
BGRL,Photo,0.0001,512,10000,0.4,0.1,0.1,0.2,0.9287582039833069
BGRL,Photo,0.0001,512,10000,0.4,0.1,0.1,0.2,0.9321895837783813
BGRL,Photo,0.0001,512,10000,0.4,0.1,0.1,0.2,0.9316993951797485
BGRL,Photo,0.0001,512,10000,0.4,0.1,0.1,0.2,0.9274510145187378
BGRL,Photo,0.0001,512,10000,0.4,0.1,0.1,0.2,0.9215686321258545
BGRL,Photo,0.0001,512,10000,0.4,0.1,0.1,0.2,0.9246732592582703
BGRL,Photo,0.0001,512,10000,0.4,0.1,0.1,0.2,0.9312092065811157
BGRL,Photo,0.0001,512,10000,0.4,0.1,0.1,0.2,0.9352941513061523
