model,sigma,dataset,lr,hid_dim,epoch,edr1,fmr1,edr2,fmr2,accuracy
BGRL,1.0,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.8731114867640039
BGRL,1.0,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.8730464094865479
BGRL,1.0,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.8732052761208267
BGRL,10.0,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.7547212781757117
BGRL,10.0,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.7384052902385593
BGRL,10.0,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.7409967737098535
BGRL,10.0,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.7411602100804449
BGRL,10.0,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.7391502457439899
BGRL,10.0,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.734346672039479
BGRL,10.0,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.7320352795730745
BGRL,10.0,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.7295956986704841
BGRL,10.0,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.7295873579850627
BGRL,10.0,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.7301605483088642
BGRL,10.0,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.7316207879636099
BGRL,10.0,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.730125106207095
BGRL,10.0,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.7299201019214323
BGRL,10.0,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.7295146889667958
BGRL,10.0,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.7259893987519046
BGRL,10.0,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.7252783385373186
BGRL,10.0,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.7257661280862111
BGRL,10.0,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.7246365785604963
BGRL,10.0,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.7249941134028333
BGRL,10.0,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.725677724368032
BGRL,100.0,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.7315389950871467
BGRL,100.0,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.7252767462804913
BGRL,100.0,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.7327523191173871
BGRL,100.0,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.7301124461889267
BGRL,100.0,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.7330568262010813
BGRL,100.0,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.7330173299983144
BGRL,100.0,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.7335847571726356
BGRL,100.0,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.7323921386115253
BGRL,100.0,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.7318113673668769
BGRL,100.0,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.7326023174993694
BGRL,100.0,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.7332287678810006
BGRL,100.0,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.7344190369071439
BGRL,100.0,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.7354483689158582
BGRL,100.0,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.735297672671665
BGRL,100.0,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.7351712077952921
BGRL,100.0,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.7353260792999062
BGRL,100.0,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.7346219344171969
BGRL,100.0,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.7334460749408851
BGRL,100.0,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.733110955537738
BGRL,100.0,Computers,0.0005,256,10000,0.5,0.2,0.4,0.1,0.7330494042677805
