model,dataset,lr,hid_dim,epoch,edr1,fmr1,edr2,fmr2,accuracy
BGRL,Photo,0.0001,2048,10000,0.4,0.1,0.1,0.2,0.9323529601097107
BGRL,Photo,0.0001,2048,10000,0.4,0.1,0.1,0.2,0.9299020171165466
BGRL,Photo,0.0001,2048,10000,0.4,0.1,0.1,0.2,0.9302287697792053
BGRL,Photo,0.0001,2048,10000,0.4,0.1,0.1,0.2,0.9308823943138123
BGRL,Photo,0.0001,2048,10000,0.4,0.1,0.1,0.2,0.9292483925819397
BGRL,Photo,0.0001,2048,10000,0.4,0.1,0.1,0.2,0.9287582039833069
BGRL,Photo,0.0001,2048,10000,0.4,0.1,0.1,0.2,0.9271242022514343
BGRL,Photo,0.0001,2048,10000,0.4,0.1,0.1,0.2,0.9310457706451416
BGRL,Photo,0.0001,2048,10000,0.4,0.1,0.1,0.2,0.9321895837783813
BGRL,Photo,0.0001,2048,10000,0.4,0.1,0.1,0.2,0.9297385811805725
BGRL,Photo,0.0001,2048,10000,0.4,0.1,0.1,0.2,0.9354575276374817
BGRL,Photo,0.0001,2048,10000,0.4,0.1,0.1,0.2,0.9336601495742798
BGRL,Photo,0.0001,2048,10000,0.4,0.1,0.1,0.2,0.9210784435272217
