model,dataset,lr,hid_dim,epoch,edr1,fmr1,edr2,fmr2,accuracy
BGRL,Photo,0.0001,1024,10000,0.4,0.1,0.1,0.2,0.9302287697792053
BGRL,Photo,0.0001,1024,10000,0.4,0.1,0.1,0.2,0.9307189583778381
BGRL,Photo,0.0001,1024,10000,0.4,0.1,0.1,0.2,0.9204248785972595
BGRL,Photo,0.0001,1024,10000,0.4,0.1,0.1,0.2,0.9261438250541687
BGRL,Photo,0.0001,1024,10000,0.4,0.1,0.1,0.2,0.9312092065811157
BGRL,Photo,0.0001,1024,10000,0.4,0.1,0.1,0.2,0.9330065846443176
BGRL,Photo,0.0001,1024,10000,0.4,0.1,0.1,0.2,0.9313725829124451
BGRL,Photo,0.0001,1024,10000,0.4,0.1,0.1,0.2,0.9343137741088867
BGRL,Photo,0.0001,1024,10000,0.4,0.1,0.1,0.2,0.9321895837783813
BGRL,Photo,0.0001,1024,10000,0.4,0.1,0.1,0.2,0.9310457706451416
BGRL,Photo,0.0001,1024,10000,0.4,0.1,0.1,0.2,0.9316993951797485
BGRL,Photo,0.0001,1024,10000,0.4,0.1,0.1,0.2,0.9330065846443176
BGRL,Photo,0.0001,1024,10000,0.4,0.1,0.1,0.2,0.9266340136528015
BGRL,Photo,0.0001,1024,10000,0.4,0.1,0.1,0.2,0.9307189583778381
BGRL,Photo,0.0001,1024,10000,0.4,0.1,0.1,0.2,0.9313725829124451
BGRL,Photo,0.0001,1024,10000,0.4,0.1,0.1,0.2,0.9310457706451416
BGRL,Photo,0.0001,1024,10000,0.4,0.1,0.1,0.2,0.9348039627075195
BGRL,Photo,0.0001,1024,10000,0.4,0.1,0.1,0.2,0.9356209635734558
BGRL,Photo,0.0001,1024,10000,0.4,0.1,0.1,0.2,0.9282680153846741
BGRL,Photo,0.0001,1024,10000,0.4,0.1,0.1,0.2,0.9215686321258545
