model,dataset,lr,hid_dim,epoch,edr1,fmr1,edr2,fmr2,accuracy
BGRL,Photo,0.0001,128,10000,0.4,0.1,0.1,0.2,0.9133987426757812
BGRL,Photo,0.0001,128,10000,0.4,0.1,0.1,0.2,0.909477174282074
BGRL,Photo,0.0001,128,10000,0.4,0.1,0.1,0.2,0.880065381526947
BGRL,Photo,0.0001,128,10000,0.4,0.1,0.1,0.2,0.8988562226295471
BGRL,Photo,0.0001,128,10000,0.4,0.1,0.1,0.2,0.8879085183143616
BGRL,Photo,0.0001,128,10000,0.4,0.1,0.1,0.2,0.9053921699523926
BGRL,Photo,0.0001,128,10000,0.4,0.1,0.1,0.2,0.8964052796363831
BGRL,Photo,0.0001,128,10000,0.4,0.1,0.1,0.2,0.8870915174484253
BGRL,Photo,0.0001,128,10000,0.4,0.1,0.1,0.2,0.8841503262519836
BGRL,Photo,0.0001,128,10000,0.4,0.1,0.1,0.2,0.8954248428344727
BGRL,Photo,0.0001,128,10000,0.4,0.1,0.1,0.2,0.8952614665031433
BGRL,Photo,0.0001,128,10000,0.4,0.1,0.1,0.2,0.8929738998413086
BGRL,Photo,0.0001,128,10000,0.4,0.1,0.1,0.2,0.8825163841247559
BGRL,Photo,0.0001,128,10000,0.4,0.1,0.1,0.2,0.8861111402511597
BGRL,Photo,0.0001,128,10000,0.4,0.1,0.1,0.2,0.9039216041564941
BGRL,Photo,0.0001,128,10000,0.4,0.1,0.1,0.2,0.8901960849761963
BGRL,Photo,0.0001,128,10000,0.4,0.1,0.1,0.2,0.9003268480300903
BGRL,Photo,0.0001,128,10000,0.4,0.1,0.1,0.2,0.8745098114013672
BGRL,Photo,0.0001,128,10000,0.4,0.1,0.1,0.2,0.8970588445663452
BGRL,Photo,0.0001,128,10000,0.4,0.1,0.1,0.2,0.8825163841247559
