model,dataset,epochs,lr1,lr2,wd1,wd2,channels,tau,edr,fmr,accuracy
GRACE,CiteSeer,50,0.001,0.01,0.0,0.01,512,0.5,0.5,0.2,0.7304000288248063
GRACE,CiteSeer,100,0.001,0.01,0.0,0.01,512,0.5,0.5,0.2,0.7286500304937362
GRACE,CiteSeer,200,0.001,0.01,0.0,0.01,512,0.5,0.5,0.2,0.7117500334978104
GRACE,CiteSeer,400,0.001,0.01,0.0,0.01,512,0.5,0.5,0.2,0.6676500320434571
