model,dataset,epochs,lr1,lr2,wd1,wd2,channels,tau,edr,fmr,accuracy
GRACE,Cora,50,0.0005,0.01,1e-05,0.0001,256,0.5,0.5,0.2,0.7812500417232513
GRACE,Cora,100,0.0005,0.01,1e-05,0.0001,256,0.5,0.5,0.2,0.8045000344514847
GRACE,Cora,200,0.0005,0.01,1e-05,0.0001,256,0.5,0.5,0.2,0.8222500413656235
GRACE,Cora,400,0.0005,0.01,1e-05,0.0001,256,0.5,0.5,0.2,0.8258000373840332
GRACE,Cora,600,0.0005,0.01,1e-05,0.0001,256,0.5,0.5,0.2,0.8262000381946564
GRACE,Cora,800,0.0005,0.01,1e-05,0.0001,256,0.5,0.5,0.2,0.8153000384569168
GRACE,Cora,1000,0.0005,0.01,1e-05,0.0001,256,0.5,0.5,0.2,0.8101000368595124
GRACE,Cora,1500,0.0005,0.01,1e-05,0.0001,256,0.5,0.5,0.2,0.7904000371694565
GRACE,Cora,2000,0.0005,0.01,1e-05,0.0001,256,0.5,0.5,0.2,0.7738000333309174
