model,dataset,epochs,lr1,lr2,wd1,wd2,channels,tau,edr,fmr,accuracy
GRACE,PubMed,50,0.001,0.01,1e-05,0.0001,256,0.5,0.3,0.3,0.7443500399589539
GRACE,PubMed,100,0.001,0.01,1e-05,0.0001,256,0.5,0.3,0.3,0.7701500356197357
GRACE,PubMed,200,0.001,0.01,1e-05,0.0001,256,0.5,0.3,0.3,0.7900500357151031
GRACE,PubMed,400,0.001,0.01,1e-05,0.0001,256,0.5,0.3,0.3,0.7945500403642655
GRACE,PubMed,600,0.001,0.01,1e-05,0.0001,256,0.5,0.3,0.3,0.7954500406980515
GRACE,PubMed,800,0.001,0.01,1e-05,0.0001,256,0.5,0.3,0.3,0.8031500369310379
GRACE,PubMed,1000,0.001,0.01,1e-05,0.0001,256,0.5,0.3,0.3,0.8102000385522843
GRACE,PubMed,1500,0.001,0.01,1e-05,0.0001,256,0.5,0.3,0.3,0.8136500358581543
GRACE,PubMed,2000,0.001,0.01,1e-05,0.0001,256,0.5,0.3,0.3,0.8192000448703766
