model,dataset,epochs,lr1,lr2,wd1,wd2,channels,tau,edr,fmr,accuracy
GRACE,Computers,2500,0.001,0.01,1e-05,0.0001,128,0.5,0.5,0.0,0.8907607644796371
GRACE,Computers,3000,0.001,0.01,1e-05,0.0001,128,0.5,0.5,0.0,0.8899563729763031
