model,dataset,epochs,lr1,lr2,wd1,wd2,channels,edge_drop_rate,feat_mask_rate,accuracy
CLGR,Photo,50,0.001,0.01,0.0,0.0001,128,0.5,0.0,0.9214461088180542
CLGR,Photo,100,0.001,0.01,0.0,0.0001,128,0.5,0.0,0.9274019956588745
CLGR,Photo,200,0.001,0.01,0.0,0.0001,128,0.5,0.0,0.9276634246110916
CLGR,Photo,400,0.001,0.01,0.0,0.0001,128,0.5,0.0,0.9279085248708725
CLGR,Photo,600,0.001,0.01,0.0,0.0001,128,0.5,0.0,0.9279248714447021
CLGR,Photo,800,0.001,0.01,0.0,0.0001,128,0.5,0.0,0.9261683344841003
CLGR,Photo,1000,0.001,0.01,0.0,0.0001,128,0.5,0.0,0.9246160477399826
CLGR,Photo,1500,0.001,0.01,0.0,0.0001,128,0.5,0.0,0.9241993695497512
CLGR,Photo,2000,0.001,0.01,0.0,0.0001,128,0.5,0.0,0.9210702896118164
