model,dataset,epochs,lr1,lr2,wd1,wd2,channels,edge_drop_rate,feat_mask_rate,accuracy
CLGR,Cora,50,0.001,0.005,0.0,0.0001,256,0.5,0.2,0.8385500371456146
CLGR,Cora,100,0.001,0.005,0.0,0.0001,256,0.5,0.2,0.8370500355958939
CLGR,Cora,200,0.001,0.005,0.0,0.0001,256,0.5,0.2,0.8255000382661819
CLGR,Cora,400,0.001,0.005,0.0,0.0001,256,0.5,0.2,0.7839000403881073
CLGR,Cora,600,0.001,0.005,0.0,0.0001,256,0.5,0.2,0.7445500284433365
CLGR,Cora,800,0.001,0.005,0.0,0.0001,256,0.5,0.2,0.7194500386714935
CLGR,Cora,1000,0.001,0.005,0.0,0.0001,256,0.5,0.2,0.6964000433683395
CLGR,Cora,1500,0.001,0.005,0.0,0.0001,256,0.5,0.2,0.6762000322341919
CLGR,Cora,2000,0.001,0.005,0.0,0.0001,256,0.5,0.2,0.6699000328779221
