model,dataset,epochs,lr1,lr2,wd1,wd2,channels,edge_drop_rate,feat_mask_rate,accuracy
CLGR,CiteSeer,50,0.001,0.01,0.0,0.01,256,0.5,0.2,0.7259500354528428
CLGR,CiteSeer,100,0.001,0.01,0.0,0.01,256,0.5,0.2,0.721800035238266
CLGR,CiteSeer,200,0.001,0.01,0.0,0.01,256,0.5,0.2,0.6890500396490097
CLGR,CiteSeer,400,0.001,0.01,0.0,0.01,256,0.5,0.2,0.6477500259876251
CLGR,CiteSeer,600,0.001,0.01,0.0,0.01,256,0.5,0.2,0.6338500291109085
CLGR,CiteSeer,800,0.001,0.01,0.0,0.01,256,0.5,0.2,0.626400026679039
CLGR,CiteSeer,1000,0.001,0.01,0.0,0.01,256,0.5,0.2,0.6222500294446945
CLGR,CiteSeer,1500,0.001,0.01,0.0,0.01,256,0.5,0.2,0.6169000267982483
CLGR,CiteSeer,2000,0.001,0.01,0.0,0.01,256,0.5,0.2,0.6120500326156616
