model,dataset,epochs,lr1,lr2,wd1,wd2,channels,edge_drop_rate,feat_mask_rate,accuracy
CLGR,CS,50,0.001,0.005,0.0,0.01,256,0.1,0.3,0.9299229830503464
CLGR,CS,100,0.001,0.005,0.0,0.01,256,0.1,0.3,0.9325685501098633
CLGR,CS,200,0.001,0.005,0.0,0.01,256,0.1,0.3,0.9343652188777923
CLGR,CS,400,0.001,0.005,0.0,0.01,256,0.1,0.3,0.9359198480844497
CLGR,CS,600,0.001,0.005,0.0,0.01,256,0.1,0.3,0.9366153240203857
CLGR,CS,800,0.001,0.005,0.0,0.01,256,0.1,0.3,0.9343140900135041
CLGR,CS,1000,0.001,0.005,0.0,0.01,256,0.1,0.3,0.9327287882566452
CLGR,CS,1500,0.001,0.005,0.0,0.01,256,0.1,0.3,0.92564437687397
CLGR,CS,2000,0.001,0.005,0.0,0.01,256,0.1,0.3,0.9126312911510468
