model,dataset,epochs,lr1,lr2,wd1,wd2,channels,edge_drop_rate,feat_mask_rate,accuracy
CLGR,Cora,50,0.001,0.005,0.0,0.0001,512,0.5,0.2,0.8405000478029251
CLGR,Cora,100,0.001,0.005,0.0,0.0001,512,0.5,0.2,0.8348000437021256
CLGR,Cora,200,0.001,0.005,0.0,0.0001,512,0.5,0.2,0.8092000395059585
CLGR,Cora,400,0.001,0.005,0.0,0.0001,512,0.5,0.2,0.7663000375032425
CLGR,Cora,600,0.001,0.005,0.0,0.0001,512,0.5,0.2,0.7238000363111496
CLGR,Cora,800,0.001,0.005,0.0,0.0001,512,0.5,0.2,0.7082500427961349
CLGR,Cora,1000,0.001,0.005,0.0,0.0001,512,0.5,0.2,0.6863500416278839
CLGR,Cora,1500,0.001,0.005,0.0,0.0001,512,0.5,0.2,0.672700035572052
CLGR,Cora,2000,0.001,0.005,0.0,0.0001,512,0.5,0.2,0.6700500309467315
