model,sigma,dataset,epochs,layers,tau,lr1,lr2,wd1,wd2,channels,edge_drop_rate,feat_mask_rate,accuracy
CLGR,0.01,Computers,200,2,0.5,0.001,0.01,0.0,0.0001,512,0.5,0.0,0.894782766699791
CLGR,0.1,Computers,200,2,0.5,0.001,0.01,0.0,0.0001,512,0.5,0.0,0.8948691129684448
CLGR,1.0,Computers,200,2,0.5,0.001,0.01,0.0,0.0001,512,0.5,0.0,0.8910879820585251
CLGR,10.0,Computers,200,2,0.5,0.001,0.01,0.0,0.0001,512,0.5,0.0,0.8669378280639648
CLGR,100.0,Computers,200,2,0.5,0.001,0.01,0.0,0.0001,512,0.5,0.0,0.8651972383260726
