model,dataset,epochs,layers,tau,lr1,lr2,wd1,wd2,channels,edge_drop_rate,feat_mask_rate,accuracy
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,256,0.3,0.2,0.9246732592582703
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,256,0.3,0.2,0.926960825920105
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,256,0.3,0.2,0.9220588803291321
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,256,0.3,0.2,0.9259804487228394
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,256,0.3,0.2,0.9261438250541687
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,256,0.3,0.2,0.9186275005340576
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,256,0.3,0.2,0.9253268241882324
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,256,0.3,0.2,0.9220588803291321
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,256,0.3,0.2,0.9227124452590942
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,256,0.3,0.2,0.9258170127868652
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,256,0.3,0.2,0.920751690864563
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,256,0.3,0.2,0.9307189583778381
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,256,0.3,0.2,0.9243464469909668
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,256,0.3,0.2,0.9254902005195618
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,256,0.3,0.2,0.9289215803146362
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,256,0.3,0.2,0.9287582039833069
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,256,0.3,0.2,0.9253268241882324
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,256,0.3,0.2,0.9225490689277649
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,256,0.3,0.2,0.9289215803146362
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,256,0.3,0.2,0.9344771504402161
