model,dataset,epochs,layers,tau,lr1,lr2,wd1,wd2,channels,edge_drop_rate,feat_mask_rate,accuracy
GRACE,Photo,1500,2,0.5,0.001,0.01,1e-05,0.0001,1024,0.5,0.3,0.9290850162506104
GRACE,Photo,1500,2,0.5,0.001,0.01,1e-05,0.0001,1024,0.5,0.3,0.9240196347236633
GRACE,Photo,1500,2,0.5,0.001,0.01,1e-05,0.0001,1024,0.5,0.3,0.9292483925819397
GRACE,Photo,1500,2,0.5,0.001,0.01,1e-05,0.0001,1024,0.5,0.3,0.9284313917160034
GRACE,Photo,1500,2,0.5,0.001,0.01,1e-05,0.0001,1024,0.5,0.3,0.9243464469909668
GRACE,Photo,1500,2,0.5,0.001,0.01,1e-05,0.0001,1024,0.5,0.3,0.9279412031173706
GRACE,Photo,1500,2,0.5,0.001,0.01,1e-05,0.0001,1024,0.5,0.3,0.9235294461250305
GRACE,Photo,1500,2,0.5,0.001,0.01,1e-05,0.0001,1024,0.5,0.3,0.9217320680618286
GRACE,Photo,1500,2,0.5,0.001,0.01,1e-05,0.0001,1024,0.5,0.3,0.9349673390388489
GRACE,Photo,1500,2,0.5,0.001,0.01,1e-05,0.0001,1024,0.5,0.3,0.9217320680618286
GRACE,Photo,1500,2,0.5,0.001,0.01,1e-05,0.0001,1024,0.5,0.3,0.9267973899841309
GRACE,Photo,1500,2,0.5,0.001,0.01,1e-05,0.0001,1024,0.5,0.3,0.9303922057151794
GRACE,Photo,1500,2,0.5,0.001,0.01,1e-05,0.0001,1024,0.5,0.3,0.9199346899986267
GRACE,Photo,1500,2,0.5,0.001,0.01,1e-05,0.0001,1024,0.5,0.3,0.9299020171165466
GRACE,Photo,1500,2,0.5,0.001,0.01,1e-05,0.0001,1024,0.5,0.3,0.923202633857727
GRACE,Photo,1500,2,0.5,0.001,0.01,1e-05,0.0001,1024,0.5,0.3,0.923856258392334
GRACE,Photo,1500,2,0.5,0.001,0.01,1e-05,0.0001,1024,0.5,0.3,0.9303922057151794
GRACE,Photo,1500,2,0.5,0.001,0.01,1e-05,0.0001,1024,0.5,0.3,0.9225490689277649
GRACE,Photo,1500,2,0.5,0.001,0.01,1e-05,0.0001,1024,0.5,0.3,0.923856258392334
GRACE,Photo,1500,2,0.5,0.001,0.01,1e-05,0.0001,1024,0.5,0.3,0.9217320680618286
