model,dataset,epochs,layers,tau,lr1,lr2,wd1,wd2,channels,edge_drop_rate,feat_mask_rate,accuracy
CLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,256,0.5,0.0,0.9230392575263977
CLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,256,0.5,0.0,0.9276143908500671
CLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,256,0.5,0.0,0.933169960975647
CLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,256,0.5,0.0,0.9333333373069763
CLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,256,0.5,0.0,0.929411768913269
CLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,256,0.5,0.0,0.9267973899841309
CLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,256,0.5,0.0,0.9279412031173706
CLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,256,0.5,0.0,0.9328431487083435
CLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,256,0.5,0.0,0.9261438250541687
CLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,256,0.5,0.0,0.9313725829124451
CLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,256,0.5,0.0,0.9245098233222961
CLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,256,0.5,0.0,0.9276143908500671
CLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,256,0.5,0.0,0.9289215803146362
CLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,256,0.5,0.0,0.9245098233222961
CLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,256,0.5,0.0,0.9276143908500671
CLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,256,0.5,0.0,0.9284313917160034
CLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,256,0.5,0.0,0.9318627715110779
CLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,256,0.5,0.0,0.9243464469909668
CLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,256,0.5,0.0,0.9321895837783813
CLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,256,0.5,0.0,0.9302287697792053
