model,dataset,epochs,layers,tau,lr1,lr2,wd1,wd2,channels,edge_drop_rate,feat_mask_rate,accuracy
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,128,0.3,0.2,0.9214052557945251
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,128,0.3,0.2,0.9196078777313232
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,128,0.3,0.2,0.9215686321258545
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,128,0.3,0.2,0.9225490689277649
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,128,0.3,0.2,0.9204248785972595
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,128,0.3,0.2,0.9174836874008179
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,128,0.3,0.2,0.9186275005340576
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,128,0.3,0.2,0.9178104996681213
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,128,0.3,0.2,0.9230392575263977
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,128,0.3,0.2,0.926960825920105
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,128,0.3,0.2,0.9176470637321472
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,128,0.3,0.2,0.923202633857727
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,128,0.3,0.2,0.9155228734016418
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,128,0.3,0.2,0.9191176891326904
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,128,0.3,0.2,0.9168300628662109
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,128,0.3,0.2,0.9142156839370728
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,128,0.3,0.2,0.9205882549285889
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,128,0.3,0.2,0.9132353067398071
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,128,0.3,0.2,0.9114379286766052
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,128,0.3,0.2,0.920751690864563
