model,perturbed,dataset,epochs,layers,tau,lr1,lr2,wd1,wd2,channels,edge_drop_rate,feat_mask_rate,accuracy
CCA_SSG,0.1,Computers,50,2,0.5,0.001,0.01,0.0,0.0001,512,0.3,0.1,0.8832030534744263
CCA_SSG,0.3,Computers,50,2,0.5,0.001,0.01,0.0,0.0001,512,0.3,0.1,0.8834620952606201
CCA_SSG,0.5,Computers,50,2,0.5,0.001,0.01,0.0,0.0001,512,0.3,0.1,0.8811443418264389
CCA_SSG,0.7,Computers,50,2,0.5,0.001,0.01,0.0,0.0001,512,0.3,0.1,0.8817851275205613
CCA_SSG,0.9,Computers,50,2,0.5,0.001,0.01,0.0,0.0001,512,0.3,0.1,0.8786947846412658
