model,dataset,epochs,layers,tau,lr1,lr2,wd1,wd2,channels,edge_drop_rate,feat_mask_rate,accuracy
CLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,64,0.5,0.0,0.9178104996681213
CLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,64,0.5,0.0,0.9165033102035522
CLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,64,0.5,0.0,0.9245098233222961
CLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,64,0.5,0.0,0.9145424962043762
CLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,64,0.5,0.0,0.9202614426612854
CLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,64,0.5,0.0,0.9127451181411743
CLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,64,0.5,0.0,0.9191176891326904
CLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,64,0.5,0.0,0.920098066329956
CLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,64,0.5,0.0,0.9214052557945251
CLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,64,0.5,0.0,0.9151961207389832
CLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,64,0.5,0.0,0.9235294461250305
CLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,64,0.5,0.0,0.9261438250541687
CLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,64,0.5,0.0,0.915686309337616
CLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,64,0.5,0.0,0.9189542531967163
CLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,64,0.5,0.0,0.9191176891326904
CLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,64,0.5,0.0,0.9178104996681213
CLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,64,0.5,0.0,0.9223856329917908
CLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,64,0.5,0.0,0.9161764979362488
CLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,64,0.5,0.0,0.9235294461250305
CLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,64,0.5,0.0,0.9165033102035522
