model,sigma,dataset,epochs,layers,tau,lr1,lr2,wd1,wd2,channels,edge_drop_rate,feat_mask_rate,accuracy
CCA_SSG,0.01,Computers,50,2,0.5,0.001,0.01,0.0,0.0001,512,0.3,0.1,0.8854026466608047
CCA_SSG,0.1,Computers,50,2,0.5,0.001,0.01,0.0,0.0001,512,0.3,0.1,0.8863115787506104
CCA_SSG,1.0,Computers,50,2,0.5,0.001,0.01,0.0,0.0001,512,0.3,0.1,0.8840210914611817
CCA_SSG,10.0,Computers,50,2,0.5,0.001,0.01,0.0,0.0001,512,0.3,0.1,0.8660016268491745
CCA_SSG,100.0,Computers,50,2,0.5,0.001,0.01,0.0,0.0001,512,0.3,0.1,0.8744410187005996
