model,dataset,epochs,layers,tau,lr1,lr2,wd1,wd2,channels,edge_drop_rate,feat_mask_rate,accuracy
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,1024,0.3,0.2,0.9321895837783813
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,1024,0.3,0.2,0.9251634478569031
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,1024,0.3,0.2,0.933169960975647
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,1024,0.3,0.2,0.933169960975647
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,1024,0.3,0.2,0.9284313917160034
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,1024,0.3,0.2,0.9230392575263977
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,1024,0.3,0.2,0.9254902005195618
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,1024,0.3,0.2,0.9264706373214722
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,1024,0.3,0.2,0.9279412031173706
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,1024,0.3,0.2,0.9318627715110779
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,1024,0.3,0.2,0.9299020171165466
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,1024,0.3,0.2,0.9336601495742798
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,1024,0.3,0.2,0.9326797723770142
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,1024,0.3,0.2,0.9271242022514343
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,1024,0.3,0.2,0.9333333373069763
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,1024,0.3,0.2,0.9343137741088867
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,1024,0.3,0.2,0.9316993951797485
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,1024,0.3,0.2,0.9281045794487
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,1024,0.3,0.2,0.9321895837783813
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,1024,0.3,0.2,0.9186275005340576
