model,dataset,epochs,layers,tau,lr1,lr2,wd1,wd2,channels,edge_drop_rate,feat_mask_rate,accuracy
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,512,0.3,0.2,0.9305555820465088
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,512,0.3,0.2,0.9310457706451416
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,512,0.3,0.2,0.9246732592582703
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,512,0.3,0.2,0.926307201385498
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,512,0.3,0.2,0.933169960975647
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,512,0.3,0.2,0.9359477162361145
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,512,0.3,0.2,0.926960825920105
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,512,0.3,0.2,0.9308823943138123
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,512,0.3,0.2,0.9240196347236633
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,512,0.3,0.2,0.9228758215904236
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,512,0.3,0.2,0.9297385811805725
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,512,0.3,0.2,0.9251634478569031
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,512,0.3,0.2,0.9173203110694885
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,512,0.3,0.2,0.9323529601097107
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,512,0.3,0.2,0.926960825920105
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,512,0.3,0.2,0.9281045794487
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,512,0.3,0.2,0.9228758215904236
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,512,0.3,0.2,0.9284313917160034
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,512,0.3,0.2,0.9279412031173706
CCA-SSG,Photo,50,2,0.5,0.001,0.01,0.0,0.0001,512,0.3,0.2,0.9227124452590942
