model,dataset,epochs,layers,tau,lr1,lr2,wd1,wd2,channels,edge_drop_rate,feat_mask_rate,accuracy
CLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,1024,0.5,0.0,0.9380719065666199
CLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,1024,0.5,0.0,0.9281045794487
CLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,1024,0.5,0.0,0.9359477162361145
CLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,1024,0.5,0.0,0.9313725829124451
CLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,1024,0.5,0.0,0.9282680153846741
CLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,1024,0.5,0.0,0.9338235855102539
CLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,1024,0.5,0.0,0.9328431487083435
CLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,1024,0.5,0.0,0.926307201385498
CLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,1024,0.5,0.0,0.9383987188339233
CLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,1024,0.5,0.0,0.9320261478424072
CLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,1024,0.5,0.0,0.9325163960456848
