model,dataset,epochs,layers,tau,lr1,lr2,wd1,wd2,channels,edge_drop_rate,feat_mask_rate,accuracy
GRACE,Photo,1500,2,0.5,0.001,0.01,1e-05,0.0001,128,0.5,0.3,0.9243464469909668
GRACE,Photo,1500,2,0.5,0.001,0.01,1e-05,0.0001,128,0.5,0.3,0.9282680153846741
GRACE,Photo,1500,2,0.5,0.001,0.01,1e-05,0.0001,128,0.5,0.3,0.920751690864563
GRACE,Photo,1500,2,0.5,0.001,0.01,1e-05,0.0001,128,0.5,0.3,0.9266340136528015
GRACE,Photo,1500,2,0.5,0.001,0.01,1e-05,0.0001,128,0.5,0.3,0.9210784435272217
GRACE,Photo,1500,2,0.5,0.001,0.01,1e-05,0.0001,128,0.5,0.3,0.9230392575263977
GRACE,Photo,1500,2,0.5,0.001,0.01,1e-05,0.0001,128,0.5,0.3,0.9303922057151794
GRACE,Photo,1500,2,0.5,0.001,0.01,1e-05,0.0001,128,0.5,0.3,0.9305555820465088
GRACE,Photo,1500,2,0.5,0.001,0.01,1e-05,0.0001,128,0.5,0.3,0.9248366355895996
GRACE,Photo,1500,2,0.5,0.001,0.01,1e-05,0.0001,128,0.5,0.3,0.9220588803291321
GRACE,Photo,1500,2,0.5,0.001,0.01,1e-05,0.0001,128,0.5,0.3,0.9173203110694885
GRACE,Photo,1500,2,0.5,0.001,0.01,1e-05,0.0001,128,0.5,0.3,0.9253268241882324
GRACE,Photo,1500,2,0.5,0.001,0.01,1e-05,0.0001,128,0.5,0.3,0.9271242022514343
GRACE,Photo,1500,2,0.5,0.001,0.01,1e-05,0.0001,128,0.5,0.3,0.9220588803291321
GRACE,Photo,1500,2,0.5,0.001,0.01,1e-05,0.0001,128,0.5,0.3,0.9272876381874084
GRACE,Photo,1500,2,0.5,0.001,0.01,1e-05,0.0001,128,0.5,0.3,0.9256536364555359
GRACE,Photo,1500,2,0.5,0.001,0.01,1e-05,0.0001,128,0.5,0.3,0.9264706373214722
GRACE,Photo,1500,2,0.5,0.001,0.01,1e-05,0.0001,128,0.5,0.3,0.925000011920929
GRACE,Photo,1500,2,0.5,0.001,0.01,1e-05,0.0001,128,0.5,0.3,0.9228758215904236
GRACE,Photo,1500,2,0.5,0.001,0.01,1e-05,0.0001,128,0.5,0.3,0.9310457706451416
