model,dataset,epochs,out_dim,acc_mean,acc_std
nCLNR,PubMed,600,64,0.8154,0.0076
nCLNR,PubMed,600,126,0.8149,0.0097
nCLNR,PubMed,600,256,0.8157,0.0096
nCLNR,PubMed,600,512,0.817,0.0033
CLNR,PubMed,600,64,0.8181,0.0075
CLNR,PubMed,600,126,0.8193,0.0066
CLNR,PubMed,600,256,0.8246,0.0097
CLNR,PubMed,600,512,0.8288,0.0047
