model,dataset,Time,epochs,out_dim,acc_mean,acc_std,Lu_mean,Lu_std,La_mean,La_std
CLNR,Cora,1899.821044921875,50,512,[0.8400000333786011],0,[-3.4398696422576904],0,[0.3090822398662567],0
nCLNR,Cora,1811.478515625,50,512,[0.8290000557899475],0,[-3.322852611541748],0,[0.3345063030719757],0
dCLNR,Cora,1951.1910400390625,50,512,[0.8400000333786011],0,[-3.333333969116211],0,[0.3491779863834381],0
GRACE,Cora,15255.384765625,400,512,[0.8350000381469727],0,[-3.17848539352417],0,[0.16266751289367676],0
GCLNR,Cora,1909.1005859375,50,512,[0.8280000686645508],0,[-3.3552651405334473],0,[0.231489360332489],0
