model,dataset,epochs,out_dim,acc_mean,acc_std,Lu_mean,Lu_std,La_mean,La_std
nCLNR,Physics,50,512,0.9534,0.0015,-3.1305,0.0082,0.1365,0.0082
CLNR,Physics,50,512,0.9546,0.0011,-2.9241,0.0429,0.1265,0.0079
dCLNR,Physics,50,512,0.9532,0.0018,-3.118,0.0155,0.1336,0.0056
GRACE,Physics,1000,512,0.9518,0.0013,-3.4003,0.0128,0.095,0.0024
CCA-SSG,Physics,100,512,0.9542,0.0011,-2.8546,0.0232,0.099,0.0042
