model,dataset,epochs,out_dim,acc_mean,acc_std
nCLNR,Computers,200,64,0.8382,0.0088
nCLNR,Computers,200,126,0.8547,0.0087
nCLNR,Computers,200,256,0.869,0.0057
nCLNR,Computers,200,512,0.8795,0.0045
CLNR,Computers,200,64,0.8745,0.0057
CLNR,Computers,200,126,0.8838,0.0045
CLNR,Computers,200,256,0.8909,0.0027
CLNR,Computers,200,512,0.8937,0.0056
