model,dataset,epochs,out_dim,acc_mean,acc_std
GRACE,Cora,400,64,0.7987,0.0135
GRACE,Cora,400,126,0.8251,0.0116
GRACE,Cora,400,256,0.8294,0.007
GRACE,Cora,400,512,0.8381,0.0072
