model,dataset,epochs,out_dim,acc_mean,acc_std,Lu_mean,Lu_std,La_mean,La_std
CLNR-align,ogbn-arxiv,10000,512,0.7043,0.0013,-3.4677,0.0006,0.1814,0.001
nCLNR,ogbn-arxiv,10000,512,0.703,0.0007,-3.4952,0.0016,0.1789,0.0009
CLNR,ogbn-arxiv,10000,512,0.7036,0.002,-3.4691,0.0051,0.1818,0.0019
bCLNR,ogbn-arxiv,10000,512,0.705,0.0015,-3.4539,0.0028,0.1805,0.0012
dCLNR,ogbn-arxiv,10000,512,0.7048,0.0011,-3.4952,0.0015,0.1819,0.0024
GRACE,ogbn-arxiv,10000,512,0.7111,0.0013,-2.9535,0.0091,0.1708,0.0014
CCA-SSG,ogbn-arxiv,10000,512,0.376,0.1208,-0.007,0.0121,0.0002,0.0003
