model,dataset,epochs,out_dim,acc_mean,acc_std,Lu_mean,Lu_std,La_mean,La_std,dec
nCLNR,PubMed,600,512,0.8139,0.0069,-3.183,0.0094,0.2423,0.0148,0.002
CLNR,PubMed,600,512,0.8289,0.006,-3.3331,0.0071,0.225,0.0129,0.0031
GRACE,PubMed,1000,512,0.8162,0.0088,-2.6962,0.0681,0.1509,0.0126,0.0021
GCLNR,PubMed,600,512,0.8309,0.0092,-3.2518,0.0117,0.2002,0.0124,0.0052
