model,dataset,epochs,noise,outlier,acc_mean,acc_std,Lu_mean,Lu_std,La_mean,La_std
CCA-SSG,Computers,50,,,0.888,0.004,-2.0762,0.0377,0.0534,0.0026
CCA-SSG,Computers,50,0.1,,0.8864,0.0034,-2.0559,0.0273,0.0525,0.0033
CCA-SSG,Computers,50,0.3,,0.8832,0.0041,-2.0184,0.0299,0.0561,0.0024
CCA-SSG,Computers,50,0.5,,0.8751,0.0052,-1.9754,0.0339,0.0635,0.0032
CCA-SSG,Computers,50,0.7,,0.8705,0.0048,-1.9652,0.0282,0.0726,0.0034
CCA-SSG,Computers,50,0.9,,0.8618,0.0037,-1.9668,0.0398,0.0855,0.0038
CCA-SSG,Computers,50,1.1,,0.8533,0.0048,-1.9539,0.045,0.1048,0.006
CCA-SSG,Computers,50,1.3,,0.8477,0.0048,-1.8832,0.0298,0.1205,0.0049
CCA-SSG,Computers,50,1.5,,0.8408,0.0046,-1.8804,0.0441,0.1393,0.0085
