model,dataset,epochs,out_dim,acc_mean,acc_std
CCA-SSG,Cora,50,64,0.7631,0.0096
CCA-SSG,Cora,50,126,0.7971,0.0119
CCA-SSG,Cora,50,256,0.8292,0.0033
CCA-SSG,Cora,50,512,0.8398,0.0059
