model,dataset,epochs,out_dim,acc_mean,acc_std,Lu_mean,Lu_std,La_mean,La_std
dCCA-SSG,ogbn-arxiv,50,512,0.6379,0.0028,-1.8708,0.1472,0.102,0.0087
gCCA-SSG,ogbn-arxiv,10000,512,0.6981,0.001,-3.1844,0.0236,0.1336,0.0018
CCA-SSG,ogbn-arxiv,50,512,0.6075,0.0062,-0.6111,0.1177,0.0259,0.0061
dCLNR,ogbn-arxiv,10000,512,0.7012,0.0014,-3.5356,0.0072,0.1553,0.0013
