model,dataset,epochs,out_dim,acc_mean,acc_std,Lu_mean,Lu_std,La_mean,La_std,dec
nCLNR,Cora,50,512,0.8313,0.0072,-3.3097,0.033,0.3542,0.0221,0.0019
CLNR,Cora,50,512,0.8402,0.0063,-3.4289,0.0153,0.3022,0.014,0.002
dCLNR,Cora,50,512,0.8321,0.0072,-3.3251,0.0245,0.3476,0.0214,0.0019
GRACE,Cora,400,512,0.8362,0.0079,-3.1442,0.0352,0.1578,0.0123,0.0019
GCLNR,Cora,50,512,0.8362,0.0081,-3.3179,0.0188,0.2342,0.0132,0.0027
