model,dataset,epochs,out_dim,acc_mean,acc_std,Lu_mean,Lu_std,La_mean,La_std,dec
nCLNR,Photo,100,512,0.9277,0.0041,-3.22,0.0238,0.1387,0.0067,0.4542
CLNR,Photo,100,512,0.9321,0.0036,-3.3968,0.0133,0.1085,0.0052,17.5753
GRACE,Photo,1000,512,0.9329,0.0039,-3.293,0.0112,0.0603,0.0047,17.3723
GCLNR,Photo,100,512,0.9309,0.003,-3.2899,0.0178,0.0865,0.0044,492.1967
