model,dataset,epochs,out_dim,acc_mean,acc_std,Lu_mean,Lu_std,La_mean,La_std
CLNR-align,Photo,100,512,0.9322,0.0033,-2.7546,0.0772,0.0909,0.0033
nCLNR,Photo,100,512,0.9277,0.0037,-3.2316,0.02,0.1398,0.0092
CLNR,Photo,100,512,0.9306,0.0047,-2.7689,0.0632,0.0913,0.0044
bCLNR,Photo,100,512,0.9318,0.0035,-2.7585,0.0672,0.0896,0.0063
dCLNR,Photo,100,512,0.9294,0.0029,-2.9282,0.1668,0.1239,0.0086
GRACE,Photo,100,512,0.9293,0.0028,-2.4612,0.0601,0.1043,0.009
CCA-SSG,Photo,50,512,0.929,0.0034,-2.4052,0.0515,0.089,0.0067
