model,dataset,epochs,out_dim,acc_mean,acc_std,Lu_mean,Lu_std,La_mean,La_std
CLNR-align,Computers,200,512,0.8942,0.0037,-2.8803,0.0709,0.0779,0.0041
nCLNR,Computers,200,512,0.8797,0.0043,-3.3281,0.0165,0.1231,0.0049
CLNR,Computers,200,512,0.8945,0.0033,-2.9026,0.0616,0.0801,0.003
bCLNR,Computers,200,512,0.895,0.0027,-2.8521,0.0536,0.0764,0.0027
dCLNR,Computers,200,512,0.8843,0.0037,-2.9632,0.15,0.1071,0.0056
GRACE,Computers,1500,512,0.893,0.0035,-3.1153,0.0165,0.0729,0.0031
CCA-SSG,Computers,50,512,0.8871,0.0047,-2.0759,0.0313,0.0527,0.0024
