model,dataset,epochs,out_dim,acc_mean,acc_std,Lu_mean,Lu_std,La_mean,La_std,dec
GRACE,ogbn-arxiv,10000,512,0.6968,0.0015,-3.1812,0.0085,0.1341,0.0014,2467.2886
CLNR,ogbn-arxiv,10000,512,0.6998,0.0016,-1.7197,0.1254,0.0738,0.0054,9139.7367
