model,dataset,epochs,out_dim,acc_mean,acc_std,Lu_mean,Lu_std,La_mean,La_std
CLNR,Physics,50,512,0.9533,0.0008,-3.3186,0.0063,0.1318,0.0067
nCLNR,Physics,50,512,0.9536,0.0006,-3.121,0.0201,0.1389,0.0104
dCLNR,Physics,50,512,0.9544,0.0011,-3.1396,0.0063,0.134,0.0044
GRACE,Physics,1000,512,0.9526,0.0014,-3.4452,0.0031,0.0814,0.0026
GCLNR,Physics,50,512,0.954,0.0014,-3.2308,0.0148,0.1148,0.0072
