model,dataset,epochs,noise,outlier,acc_mean,acc_std,Lu_mean,Lu_std,La_mean,La_std
CLNR,Cora,50,,True,0.8413,0.0048,-2.8868,0.0358,0.264,0.014
dCLNR,Cora,50,,True,0.8352,0.0092,-3.3284,0.0212,0.3437,0.0166
GRACE,Cora,400,,True,0.8343,0.0084,-2.7333,0.06,0.2689,0.0144
CCA-SSG,Cora,50,,True,0.8395,0.005,-3.044,0.0368,0.2869,0.0207
