model,dataset,epochs,out_dim,acc_mean,acc_std
GRACE,Photo,1000,64,0.9273,0.002
GRACE,Photo,1000,126,0.9313,0.0022
GRACE,Photo,1000,256,0.9321,0.0042
GRACE,Photo,1000,512,0.934,0.0017
CCA-SSG,Photo,50,64,0.9172,0.0031
CCA-SSG,Photo,50,126,0.9207,0.0047
CCA-SSG,Photo,50,256,0.9255,0.0034
CCA-SSG,Photo,50,512,0.9283,0.004
