model,dataset,epochs,out_dim,acc_mean,acc_std,Lu_mean,Lu_std,La_mean,La_std
CLNR-align,Circles,100,512,0.9594,0.0114,-3.4215,0.0201,0.017,0.0006
nCLNR,Circles,100,512,0.8658,0.0188,-3.5518,0.0241,0.0143,0.0007
CLNR,Circles,100,512,0.9568,0.0149,-3.4302,0.0325,0.0168,0.0005
bCLNR,Circles,100,512,0.9561,0.0128,-3.428,0.0283,0.0165,0.0006
dCLNR,Circles,100,512,0.8669,0.017,-3.555,0.019,0.0147,0.0007
GRACE,Circles,100,512,0.7797,0.0394,-1.5991,0.4327,0.0075,0.0022
CCA-SSG,Circles,100,512,0.9811,0.0099,-3.7698,0.0065,0.0124,0.0005
