model,dataset,epochs,out_dim,acc_mean,acc_std,Lu_mean,Lu_std,La_mean,La_std,dec
nCLNR,ogbn-arxiv,5000,512,0.7017,0.0005,-3.4927,0.0174,0.1696,0.0019,4974859522.9964
CLNR,ogbn-arxiv,5000,512,0.7037,0.0016,-3.4951,0.0105,0.1758,0.0023,5135032429.6168
