model,dataset,epochs,out_dim,acc_mean,acc_std,Lu_mean,Lu_std,La_mean,La_std,dec
nCLNR,CiteSeer,50,512,0.726,0.0075,-3.7429,0.0074,0.3294,0.0116,0.0019
CLNR,CiteSeer,50,512,0.731,0.0068,-3.7826,0.0062,0.2346,0.0138,0.0019
GRACE,CiteSeer,100,512,0.7181,0.0113,-3.3443,0.0278,0.1585,0.0079,0.0019
GCLNR,CiteSeer,50,512,0.7251,0.0157,-3.6494,0.0066,0.1509,0.0065,0.0027
